ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,10.66,0.00,-10.66,-100.00,0.00,-10.66,-100.00,0.00,-10.66,-100.00,0.18,-10.48,-98.32,0.00,-10.66,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-10.66,-100.00,0.00,-10.66,-100.00,0.00,-10.66,-100.00,0.00,-10.66,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.35,-10.31,-96.68,***,***,***,28.05,17.39,163.10,***,***,***,***,***,***
PIPO-22,0.00,3.42,3.42,***,3.33,3.33,***,3.18,3.18,***,2.95,2.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.42,3.42,***,***,***,***,10.07,10.07,***,0.00,0.00,0.00,0.00,0.00,0.00
PIPO-37,1.72,***,***,***,***,***,***,0.75,-0.98,-56.63,2.57,0.84,48.98,2.02,0.30,17.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.72,-100.00,0.00,-1.72,-100.00,0.00,-1.72,-100.00,0.00,-1.72,-100.00,0.53,-1.19,-69.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,2.52,***,***,***,***,***,***,0.16,-2.37,-93.77,0.00,-2.52,-100.00,0.00,-2.52,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-2.52,-100.00,0.00,-2.52,-100.00,0.00,-2.52,-100.00,0.00,-2.52,-100.00,0.00,-2.52,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,0.00,***,***,***,***,***,***,2.27,2.27,***,0.00,0.00,0.00,2.86,2.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,0.00,***,***,***,***,***,***,1.93,1.93,***,2.52,2.52,***,1.93,1.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.28,0.28,***,0.21,0.21,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,6.08,0.00,-6.08,-100.00,0.21,-5.87,-96.48,0.00,-6.08,-100.00,0.00,-6.08,-100.00,0.00,-6.08,-100.00,***,***,***,1.58,-4.51,-74.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.77,4.69,77.14,***,***,***,***,***,***,***,***,***
PIPO-68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,2.98,***,***,***,***,1.77,1.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
PIPO-69,5.05,0.00,-5.05,-100.00,0.00,-5.05,-100.00,0.00,-5.05,-100.00,0.00,-5.05,-100.00,0.00,-5.05,-100.00,***,***,***,0.00,-5.05,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
