ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,25.49,4.44,-21.05,-82.58,4.20,-21.29,-83.53,3.87,-21.62,-84.82,3.60,-21.89,-85.87,2.39,-23.10,-90.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.07,-22.41,-87.94,3.70,-21.79,-85.47,3.58,-21.91,-85.96,3.28,-22.21,-87.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.69,-21.80,-85.52,***,***,***,1.99,-23.50,-92.21,***,***,***,***,***,***
PIPO-22,6.27,0.37,-5.90,-94.12,0.58,-5.69,-90.72,0.63,-5.64,-89.90,0.00,-6.27,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.65,-5.62,-89.61,***,***,***,14.11,7.84,125.00,9.22,2.95,47.06,8.77,2.50,39.80
PIPO-37,6.78,***,***,***,***,***,***,2.92,-3.86,-56.98,0.42,-6.36,-93.84,0.95,-5.83,-85.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.47,-6.31,-93.07,0.82,-5.96,-87.93,1.46,-5.32,-78.51,4.56,-2.22,-32.79,8.60,1.83,26.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,1.57,***,***,***,***,***,***,1.73,0.16,10.29,1.04,-0.52,-33.46,1.97,0.40,25.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.16,0.60,38.09,1.25,-0.32,-20.32,2.34,0.77,49.26,1.63,0.06,4.04,2.42,0.85,54.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,11.66,***,***,***,***,***,***,0.00,-11.66,-100.00,3.32,-8.34,-71.54,1.44,-10.23,-87.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.87,-6.79,-58.25,4.45,-7.21,-61.86,4.00,-7.66,-65.71,4.44,-7.22,-61.92,3.14,-8.52,-73.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,12.40,***,***,***,***,***,***,1.48,-10.92,-88.10,1.48,-10.92,-88.10,0.00,-12.40,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,-11.78,-94.97,0.83,-11.57,-93.31,0.70,-11.70,-94.38,0.70,-11.70,-94.38,0.70,-11.70,-94.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.48,1.48,***,10.88,10.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.36,9.36,***,9.52,9.52,***,12.19,12.19,***,25.90,25.90,***,26.29,26.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,1.60,0.88,-0.72,-44.81,0.32,-1.29,-80.30,0.49,-1.11,-69.43,0.27,-1.34,-83.37,1.38,-0.22,-13.90,***,***,***,0.91,-0.69,-42.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.14,-0.46,-28.60,***,***,***,***,***,***,***,***,***
PIPO-68,3.24,4.63,1.38,42.64,5.95,2.70,83.26,4.93,1.68,51.92,15.66,12.41,382.54,3.64,0.40,12.22,***,***,***,9.51,6.27,193.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-3.24,-100.00,***,***,***,***,***,***,***,***,***
PIPO-69,1.04,0.00,-1.04,-100.00,0.00,-1.04,-100.00,0.00,-1.04,-100.00,0.00,-1.04,-100.00,4.28,3.24,312.22,***,***,***,2.80,1.76,169.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-70,0.58,6.97,6.39,1096.66,11.95,11.36,1950.44,5.27,4.69,804.39,4.22,3.64,624.77,10.81,10.23,1755.02,***,***,***,16.19,15.61,2679.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,0.02,4.04,***,***,***,***,***,***,***,***,***
PIPO-71,4.56,2.12,-2.44,-53.44,1.98,-2.58,-56.63,2.33,-2.23,-48.98,2.20,-2.36,-51.69,1.04,-3.52,-77.10,***,***,***,0.00,-4.56,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,1.04,1.31,0.27,25.90,0.62,-0.43,-41.02,0.24,-0.81,-77.37,0.24,-0.81,-77.37,2.32,1.28,122.33,***,***,***,2.04,0.99,94.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
