ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,1.80,0.97,-0.83,-45.90,0.85,-0.95,-52.99,0.36,-1.44,-80.11,0.31,-1.49,-82.75,0.51,-1.29,-71.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.39,-1.41,-78.44,0.23,-1.57,-87.34,0.21,-1.59,-88.60,0.13,-1.67,-92.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,-1.55,-86.37,***,***,***,0.40,-1.40,-78.03,***,***,***,***,***,***
PIPO-22,0.56,0.21,-0.35,-62.05,0.12,-0.44,-78.13,0.10,-0.46,-81.70,0.16,-0.40,-71.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,-0.34,-61.16,***,***,***,0.65,0.09,16.52,0.49,-0.07,-12.50,0.40,-0.16,-29.02
PIPO-37,1.24,***,***,***,***,***,***,0.71,-0.53,-42.71,1.24,0.00,0.00,0.74,-0.50,-40.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,-0.94,-75.71,0.01,-1.23,-99.60,0.29,-0.94,-76.32,0.02,-1.22,-98.58,0.05,-1.19,-95.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,0.14,***,***,***,***,***,***,0.23,0.09,68.52,0.64,0.51,375.93,0.31,0.18,131.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.14,0.01,5.56,0.08,-0.06,-40.74,0.25,0.12,85.19,0.13,-0.01,-7.41,0.13,-0.01,-7.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,0.27,***,***,***,***,***,***,0.35,0.09,32.08,0.60,0.33,124.53,0.36,0.09,34.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.16,-0.11,-39.62,0.00,-0.27,-100.00,0.19,-0.08,-30.19,0.03,-0.23,-87.74,0.21,-0.06,-22.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,0.52,***,***,***,***,***,***,0.10,-0.42,-80.58,0.54,0.02,3.88,0.19,-0.33,-63.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,-0.43,-83.98,0.11,-0.41,-79.61,0.39,-0.13,-25.24,0.07,-0.44,-85.92,0.07,-0.44,-85.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,0.45,***,***,***,***,***,***,0.19,-0.26,-58.43,0.20,-0.25,-55.62,1.40,0.95,214.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,-0.41,-92.70,0.00,-0.45,-100.00,0.03,-0.41,-92.70,0.04,-0.41,-92.13,0.13,-0.32,-71.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,1.19,0.56,-0.63,-53.05,0.19,-1.00,-84.42,0.29,-0.90,-75.79,0.32,-0.87,-72.84,0.15,-1.04,-87.37,***,***,***,0.39,-0.80,-67.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.60,-0.59,-49.68,***,***,***,***,***,***,***,***,***
PIPO-68,1.39,0.17,-1.22,-87.75,0.51,-0.88,-63.60,0.30,-1.09,-78.20,0.57,-0.82,-59.28,0.41,-0.98,-70.45,***,***,***,0.97,-0.42,-29.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.73,-0.66,-47.75,***,***,***,***,***,***,***,***,***
PIPO-69,0.99,0.44,-0.55,-55.84,0.90,-0.09,-9.14,0.67,-0.31,-31.73,0.53,-0.46,-46.19,0.34,-0.65,-65.48,***,***,***,0.52,-0.47,-47.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
