ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,30.60,16.56,-14.05,-45.90,14.39,-16.22,-52.99,6.09,-24.52,-80.11,5.28,-25.32,-82.75,8.73,-21.88,-71.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.60,-24.00,-78.44,3.87,-26.73,-87.34,3.49,-27.11,-88.60,2.26,-28.35,-92.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.17,-26.43,-86.37,***,***,***,6.72,-23.88,-78.03,***,***,***,***,***,***
PIPO-22,9.53,3.62,-5.92,-62.05,2.09,-7.45,-78.13,1.75,-7.79,-81.70,2.68,-6.85,-71.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.70,-5.83,-61.16,***,***,***,11.11,1.57,16.52,8.34,-1.19,-12.50,6.77,-2.77,-29.02
PIPO-37,21.03,***,***,***,***,***,***,12.04,-8.98,-42.71,21.03,0.00,0.00,12.60,-8.43,-40.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.11,-15.92,-75.71,0.09,-20.94,-99.60,4.98,-16.05,-76.32,0.30,-20.73,-98.58,0.85,-20.17,-95.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,2.30,***,***,***,***,***,***,3.87,1.57,68.52,10.94,8.64,375.93,5.32,3.02,131.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.43,0.13,5.56,1.36,-0.94,-40.74,4.26,1.96,85.19,2.13,-0.17,-7.41,2.13,-0.17,-7.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,4.51,***,***,***,***,***,***,5.96,1.45,32.08,10.13,5.62,124.53,6.09,1.57,34.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.72,-1.79,-39.62,0.00,-4.51,-100.00,3.15,-1.36,-30.19,0.55,-3.96,-87.74,3.49,-1.02,-22.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,8.77,***,***,***,***,***,***,1.70,-7.07,-80.58,9.11,0.34,3.88,3.19,-5.58,-63.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.40,-7.36,-83.98,1.79,-6.98,-79.61,6.55,-2.21,-25.24,1.23,-7.53,-85.92,1.23,-7.53,-85.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,7.58,***,***,***,***,***,***,3.15,-4.43,-58.43,3.36,-4.21,-55.62,23.79,16.22,214.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.55,-7.02,-92.70,0.00,-7.58,-100.00,0.55,-7.02,-92.70,0.60,-6.98,-92.13,2.13,-5.45,-71.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,20.22,9.49,-10.73,-53.05,3.15,-17.07,-84.42,4.89,-15.32,-75.79,5.49,-14.73,-72.84,2.55,-17.66,-87.37,***,***,***,6.55,-13.66,-67.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.17,-10.04,-49.68,***,***,***,***,***,***,***,***,***
PIPO-68,23.62,2.89,-20.73,-87.75,8.60,-15.02,-63.60,5.15,-18.47,-78.20,9.62,-14.00,-59.28,6.98,-16.64,-70.45,***,***,***,16.56,-7.07,-29.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.34,-11.28,-47.75,***,***,***,***,***,***,***,***,***
PIPO-69,16.77,7.41,-9.36,-55.84,15.24,-1.53,-9.14,11.45,-5.32,-31.73,9.02,-7.75,-46.19,5.79,-10.98,-65.48,***,***,***,8.85,-7.92,-47.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
