ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,0.27,0.08,-0.20,-71.56,0.16,-0.11,-40.37,0.21,-0.07,-23.85,0.46,0.18,66.97,0.15,-0.12,-44.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,-0.15,-54.13,0.15,-0.13,-46.79,0.29,0.02,7.34,0.36,0.09,32.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.56,0.29,104.59,***,***,***,0.92,0.65,236.70,***,***,***,***,***,***
PIPO-22,0.27,0.03,-0.24,-87.85,0.21,-0.06,-21.50,0.40,0.13,49.53,0.33,0.06,21.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.02,0.75,281.31,***,***,***,0.51,0.24,90.65,0.31,0.04,14.95,0.36,0.09,33.64
PIPO-37,1.21,***,***,***,***,***,***,0.90,-0.32,-26.03,0.09,-1.12,-92.77,0.64,-0.57,-47.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,-1.02,-83.88,0.29,-0.92,-76.03,0.29,-0.92,-76.03,0.18,-1.03,-85.33,0.11,-1.11,-91.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,0.54,***,***,***,***,***,***,0.58,0.04,8.41,0.06,-0.47,-88.32,0.73,0.19,35.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.19,-0.35,-64.49,0.25,-0.28,-52.80,0.31,-0.23,-42.52,0.33,-0.21,-39.25,0.17,-0.37,-68.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,0.67,***,***,***,***,***,***,0.23,-0.44,-65.67,0.07,-0.60,-89.18,0.52,-0.15,-22.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,-0.46,-68.66,0.31,-0.36,-53.73,0.15,-0.53,-78.36,0.16,-0.51,-76.49,0.17,-0.50,-74.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,0.73,***,***,***,***,***,***,0.23,-0.50,-68.97,0.07,-0.66,-91.03,0.47,-0.26,-35.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,-0.47,-64.83,0.46,-0.27,-37.24,0.50,-0.23,-31.72,0.24,-0.49,-67.24,0.20,-0.53,-72.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,0.79,***,***,***,***,***,***,0.34,-0.45,-56.65,0.05,-0.74,-93.99,0.19,-0.61,-76.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,-0.69,-87.66,0.23,-0.57,-71.52,0.17,-0.62,-78.80,0.14,-0.65,-81.96,0.23,-0.56,-71.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,0.67,0.30,-0.37,-55.26,0.37,-0.30,-44.74,0.56,-0.11,-16.54,0.40,-0.26,-39.47,0.16,-0.51,-76.69,***,***,***,0.69,0.02,3.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.79,0.13,19.17,***,***,***,***,***,***,***,***,***
PIPO-68,0.42,0.33,-0.10,-22.49,0.58,0.16,36.69,0.64,0.22,52.07,0.49,0.06,14.79,0.37,-0.06,-13.02,***,***,***,0.87,0.44,104.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.29,0.87,204.73,***,***,***,***,***,***,***,***,***
PIPO-69,0.65,0.14,-0.51,-78.54,0.19,-0.46,-70.88,0.21,-0.44,-67.43,0.51,-0.14,-21.46,0.44,-0.22,-33.33,***,***,***,0.26,-0.39,-60.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-70,0.46,0.36,-0.10,-21.62,0.67,0.21,44.32,0.37,-0.09,-19.46,0.38,-0.09,-18.92,0.29,-0.17,-36.76,***,***,***,0.19,-0.27,-58.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.44,0.98,211.89,***,***,***,***,***,***,***,***,***
PIPO-71,0.59,0.28,-0.31,-52.54,0.27,-0.32,-54.24,1.15,0.56,94.07,0.49,-0.10,-16.53,0.66,0.07,11.02,***,***,***,0.40,-0.19,-32.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,0.27,0.11,-0.16,-58.49,0.32,0.05,19.81,0.62,0.36,134.91,0.41,0.14,53.77,0.33,0.07,24.53,***,***,***,0.46,0.19,72.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-75,0.31,0.28,-0.03,-9.02,0.35,0.04,13.11,0.46,0.15,49.18,0.42,0.11,36.89,0.16,-0.15,-48.36,***,***,***,0.20,-0.11,-35.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,0.33,107.38,***,***,***,***,***,***,***,***,***
PIPO-13,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,0.15,***,***,0.25,***,***,0.19,***,***,0.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-18,***,0.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.72,***,***,***,***,***,0.41,***,***,***,***,***,***,***,***,0.14,***,***,0.16,***,***,0.15,***,***,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-19,***,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,***,***,***,***,***,0.31,***,***,0.37,***,***,0.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-20,***,0.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,***,***,***,***,***,0.16,***,***,0.30,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-02,***,***,***,***,***,***,***,0.41,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***,0.37,***,***,0.18,***,***,0.48,***,***,0.12,***,***,0.06,***,***,0.23,***,***,0.16,***,***,0.19,***,***,0.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,***,***,***,***,***,***,0.46,***,***,0.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***,0.14,***,***,0.18,***,***,0.55,***,***,0.07,***,***,0.14,***,***,0.22,***,***,0.20,***,***,0.17,***,***,0.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,***,***,***,***,***,***,0.22,***,***,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.11,***,***,0.13,***,***,0.16,***,***,0.25,***,***,0.09,***,***,0.07,***,***,0.18,***,***,0.10,***,***,0.15,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-36,***,***,***,***,***,***,***,0.22,***,***,0.04,***,***,0.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.19,***,***,0.26,***,***,0.32,***,***,0.37,***,***,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,***,***,***,***,***,***,***,***,***,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,0.12,***,***,0.32,***,***,0.34,***,***,0.21,***,***,0.00,***,***,0.21,***,***,0.14,***,***,0.24,***,***,1.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.56,0.32,0.24,42.46,0.35,0.21,38.28,0.45,0.10,18.72,0.25,0.30,54.51,0.39,0.17,29.52,0.56,0.00,0.57,0.44,0.12,21.86,0.30,0.26,46.94,0.33,0.23,40.34,0.26,0.30,53.97,0.14,0.42,74.43,0.24,0.32,57.45,0.24,0.31,56.28,0.31,0.25,45.38,0.16,0.40,70.91,0.06,0.50,88.49,0.21,0.35,62.69,0.15,0.41,73.52,0.19,0.37,66.54,0.78,-0.22,-38.75,1.04,-0.48,-85.67,0.71,-0.15,-27.58,0.31,0.25,45.04,0.36,0.20,36.10
