ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,0.95,0.27,-0.68,-71.56,0.57,-0.38,-40.37,0.72,-0.23,-23.85,1.59,0.64,66.97,0.52,-0.43,-44.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.44,-0.51,-54.13,0.51,-0.44,-46.79,1.02,0.07,7.34,1.25,0.30,32.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.94,0.99,104.59,***,***,***,3.20,2.25,236.70,***,***,***,***,***,***
PIPO-22,0.93,0.11,-0.82,-87.85,0.73,-0.20,-21.50,1.39,0.46,49.53,1.13,0.20,21.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.55,2.62,281.31,***,***,***,1.78,0.85,90.65,1.07,0.14,14.95,1.25,0.31,33.64
PIPO-37,4.22,***,***,***,***,***,***,3.12,-1.10,-26.03,0.30,-3.91,-92.77,2.23,-1.99,-47.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,-3.54,-83.88,1.01,-3.21,-76.03,1.01,-3.21,-76.03,0.62,-3.60,-85.33,0.37,-3.85,-91.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,1.86,***,***,***,***,***,***,2.02,0.16,8.41,0.22,-1.65,-88.32,2.53,0.66,35.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.66,-1.20,-64.49,0.88,-0.98,-52.80,1.07,-0.79,-42.52,1.13,-0.73,-39.25,0.59,-1.27,-68.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,2.33,***,***,***,***,***,***,0.80,-1.53,-65.67,0.25,-2.08,-89.18,1.80,-0.53,-22.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.73,-1.60,-68.66,1.08,-1.25,-53.73,0.51,-1.83,-78.36,0.55,-1.79,-76.49,0.59,-1.74,-74.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,2.53,***,***,***,***,***,***,0.78,-1.74,-68.97,0.23,-2.30,-91.03,1.62,-0.91,-35.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.89,-1.64,-64.83,1.59,-0.94,-37.24,1.72,-0.80,-31.72,0.83,-1.70,-67.24,0.69,-1.84,-72.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,2.75,***,***,***,***,***,***,1.19,-1.56,-56.65,0.17,-2.59,-93.99,0.64,-2.11,-76.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.34,-2.41,-87.66,0.78,-1.97,-71.52,0.58,-2.17,-78.80,0.50,-2.26,-81.96,0.79,-1.96,-71.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,2.32,1.04,-1.28,-55.26,1.28,-1.04,-44.74,1.93,-0.38,-16.54,1.40,-0.91,-39.47,0.54,-1.78,-76.69,***,***,***,2.40,0.09,3.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.76,0.44,19.17,***,***,***,***,***,***,***,***,***
PIPO-68,1.47,1.14,-0.33,-22.49,2.01,0.54,36.69,2.24,0.77,52.07,1.69,0.22,14.79,1.28,-0.19,-13.02,***,***,***,3.01,1.54,104.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.49,3.01,204.73,***,***,***,***,***,***,***,***,***
PIPO-69,2.27,0.49,-1.79,-78.54,0.66,-1.61,-70.88,0.74,-1.53,-67.43,1.79,-0.49,-21.46,1.52,-0.76,-33.33,***,***,***,0.91,-1.37,-60.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
