ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,70.59,22.50,-48.09,-68.13,20.71,-49.89,-70.67,11.30,-59.30,-84.00,11.25,-59.34,-84.06,15.15,-55.45,-78.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.54,-58.05,-82.24,12.36,-58.23,-82.49,11.47,-59.13,-83.75,10.49,-60.11,-85.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.84,-56.75,-80.39,***,***,***,46.23,-24.37,-34.52,***,***,***,***,***,***
PIPO-22,16.85,7.53,-9.32,-55.30,6.86,-9.99,-59.30,6.97,-9.88,-58.62,6.96,-9.89,-58.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.59,-5.26,-31.22,***,***,***,37.38,20.54,121.90,18.70,1.85,10.97,17.10,0.26,1.52
PIPO-37,34.92,***,***,***,***,***,***,19.86,-15.06,-43.13,26.01,-8.91,-25.51,18.31,-16.61,-47.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.09,-27.82,-79.69,2.65,-32.26,-92.40,8.86,-26.05,-74.61,6.95,-27.96,-80.09,12.93,-21.98,-62.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,9.74,***,***,***,***,***,***,8.54,-1.19,-12.26,13.50,3.76,38.63,10.83,1.09,11.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.69,-4.04,-41.53,3.62,-6.11,-62.79,7.87,-1.86,-19.14,5.95,-3.78,-38.86,7.76,-1.97,-20.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,20.09,***,***,***,***,***,***,9.79,-10.30,-51.26,14.87,-5.22,-25.98,13.47,-6.62,-32.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.10,-10.99,-54.70,6.64,-13.45,-66.96,8.70,-11.39,-56.69,6.56,-13.54,-67.37,7.82,-12.27,-61.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,24.77,***,***,***,***,***,***,4.37,-20.40,-82.35,11.72,-13.05,-52.68,4.97,-19.80,-79.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.88,-20.89,-84.33,5.24,-19.53,-78.84,9.29,-15.48,-62.49,3.41,-21.36,-86.24,4.14,-20.62,-83.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,10.36,***,***,***,***,***,***,6.70,-3.67,-35.39,8.11,-2.25,-21.74,40.62,30.25,291.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.59,2.23,21.48,13.81,3.44,33.23,16.59,6.23,60.13,32.14,21.77,210.12,35.48,25.12,242.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,31.79,11.91,-19.88,-62.53,5.45,-26.35,-82.86,7.64,-24.16,-75.98,7.84,-23.96,-75.35,6.59,-25.20,-79.28,***,***,***,12.46,-19.34,-60.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,26.23,-5.56,-17.50,***,***,***,***,***,***,***,***,***
PIPO-68,29.45,9.94,-19.51,-66.24,17.27,-12.17,-41.34,12.85,-16.60,-56.37,28.00,-1.45,-4.93,16.18,-13.26,-45.05,***,***,***,31.49,2.04,6.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,18.03,-11.42,-38.77,***,***,***,***,***,***,***,***,***
PIPO-69,27.20,10.00,-17.20,-63.22,17.65,-9.55,-35.11,13.54,-13.66,-50.23,11.38,-15.82,-58.15,15.72,-11.48,-42.20,***,***,***,15.04,-12.16,-44.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
