ProjectUnit = Sunset Fuels
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff
SunsetFuels_001,6.92,7.03,0.11,1.63
SunsetFuels_002,5.59,3.60,-1.99,-35.59
SunsetFuels_003,30.68,9.59,-21.08,-68.72
SunsetFuels_004,0.24,0.24,0.00,0.00
SunsetFuels_005,5.45,6.47,1.01,18.55
SunsetFuels_006,8.09,10.34,2.25,27.82
SunsetFuels_007,5.66,5.05,-0.61,-10.77
SunsetFuels_008,19.85,19.85,0.00,0.00
SunsetFuels_009,2.74,3.48,0.75,27.32
SunsetFuels_010,9.42,9.42,0.00,0.00
Mean,9.46,7.51,1.96,20.66
