ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,2.29,0.65,-1.63,-71.42,1.11,-1.18,-51.43,0.65,-1.63,-71.43,0.92,-1.37,-60.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.11,-1.18,-51.41,0.72,-1.57,-68.56,0.85,-1.44,-62.84,3.46,1.18,51.41,1.96,-0.33,-14.29,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,2.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.05,-1.57,-60.04,0.85,-1.77,-67.54,0.92,-1.71,-65.06,2.03,-0.59,-22.56
ABCO-54,0.85,0.52,-0.33,-38.46,0.72,-0.13,-15.38,0.39,-0.46,-53.85,0.46,-0.39,-46.16,0.72,-0.13,-15.39,***,***,***,***,***,***,2.74,1.89,223.05,***,***,***,1.18,0.33,38.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,0.65,0.33,-0.33,-50.01,0.39,-0.26,-40.01,0.33,-0.33,-50.00,0.72,0.07,9.99,1.57,0.91,140.00,***,***,***,***,***,***,2.61,1.96,300.00,***,***,***,1.76,1.11,169.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,0.27,0.73,0.46,175.25,0.99,0.73,274.76,0.80,0.54,203.62,0.74,0.47,177.68,0.20,-0.06,-24.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.73,0.47,176.06,0.27,0.00,0.60,0.13,-0.13,-49.39,0.66,0.39,148.61,0.59,0.33,123.76,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,0.80,0.46,-0.33,-41.75,0.60,-0.20,-25.07,0.53,-0.27,-33.77,0.73,-0.07,-8.49,0.86,0.06,7.55,1.12,0.33,41.07,0.59,-0.21,-25.97,0.99,0.19,24.00,0.85,0.06,6.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,0.66,0.21,-0.45,-68.52,0.21,-0.45,-68.52,0.14,-0.53,-79.49,0.40,-0.26,-39.16,2.56,1.89,285.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.53,-0.13,-19.82,0.60,-0.07,-9.83,0.54,-0.13,-18.84,0.87,0.21,31.72,0.89,0.22,33.33,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,0.39,0.39,0.00,-0.01,0.46,0.07,16.66,0.26,-0.13,-33.34,0.07,-0.33,-83.33,0.39,0.00,0.00,0.52,0.13,33.33,0.91,0.52,133.35,0.85,0.46,116.67,0.98,0.59,150.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,0.20,0.53,0.33,167.26,0.59,0.40,200.50,0.52,0.33,166.24,0.39,0.20,99.77,1.18,0.99,501.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.25,1.06,535.56,1.65,1.45,736.01,1.25,1.06,535.52,3.61,3.42,1733.65,3.55,3.35,1701.51,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,0.59,0.99,0.40,67.35,1.05,0.46,78.42,0.85,0.26,44.60,0.99,0.40,67.32,0.72,0.13,22.54,1.38,0.79,134.08,0.85,0.26,44.89,0.73,0.14,23.09,2.69,2.10,355.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-62,1.06,0.60,-0.46,-43.29,0.60,-0.46,-43.29,0.53,-0.53,-49.83,0.53,-0.53,-49.75,0.79,-0.27,-25.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.12,1.06,99.68,1.72,0.66,62.09,0.79,-0.27,-25.19,1.59,0.53,49.64,1.52,0.46,43.42,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-63,0.92,2.03,1.11,121.42,2.62,1.70,185.75,2.16,1.24,135.66,2.29,1.38,150.01,2.36,1.44,157.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.03,1.11,121.51,1.97,1.05,114.27,1.18,0.26,28.61,1.97,1.05,114.30,1.84,0.92,100.05,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-64,0.80,0.47,-0.34,-41.93,0.47,-0.34,-41.93,0.54,-0.27,-33.36,0.93,0.13,16.42,1.93,1.13,140.74,1.93,1.13,140.58,1.06,0.26,32.50,1.99,1.19,148.39,1.99,1.19,147.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-65,2.16,0.52,-1.64,-75.77,0.72,-1.44,-66.71,0.52,-1.64,-75.80,1.31,-0.86,-39.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.25,-0.92,-42.42,0.46,-1.71,-78.79,***,***,***,***,***,***
ABCO-66,0.73,0.26,-0.47,-63.83,0.14,-0.60,-81.47,0.26,-0.47,-64.32,0.35,-0.38,-52.35,0.92,0.19,25.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.53,-0.20,-27.15,0.54,-0.19,-26.47,***,***,***,***,***,***
ABCO-77,0.85,1.63,0.78,92.33,1.37,0.52,61.56,1.24,0.39,46.17,1.96,1.11,130.82,5.23,4.38,515.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.24,0.39,46.18,***,***,***,***,***,***,***,***,***
ABCO-78,1.63,2.42,0.78,48.00,1.62,-0.01,-0.82,2.09,0.46,28.11,1.41,-0.22,-13.46,1.62,-0.01,-0.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.18,-0.46,-28.00,***,***,***,***,***,***,***,***,***
Mean,1.03,0.80,0.23,22.48,0.85,0.17,16.95,0.74,0.29,28.09,0.89,0.14,13.67,1.50,-0.48,-46.31,1.24,-0.21,-20.60,0.86,0.17,16.76,1.65,-0.62,-60.75,1.63,-0.60,-58.28,1.47,-0.44,-43.00,1.30,-0.27,-26.10,1.15,-0.12,-12.13,0.79,0.24,23.02,2.03,-1.00,-97.19,1.72,-0.70,-67.71,1.05,-0.02,-2.04,0.62,0.41,40.06,0.92,0.11,10.90,2.03,-1.00,-97.49
