ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,19.64,0.00,-19.64,-100.00,2.31,-17.33,-88.23,1.58,-18.06,-91.97,0.00,-19.64,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.75,-17.89,-91.10,2.31,-17.33,-88.23,0.00,-19.64,-100.00,2.12,-17.52,-89.23,7.57,-12.07,-61.44,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,8.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,19.28,11.23,139.49,16.76,8.71,108.18,60.37,52.32,649.91,12.63,4.58,56.88
ABCO-54,1.27,0.00,-1.27,-100.00,0.00,-1.27,-100.00,0.00,-1.27,-100.00,4.28,3.00,235.62,0.00,-1.27,-100.00,***,***,***,***,***,***,0.00,-1.27,-100.00,***,***,***,0.00,-1.27,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,19.11,0.00,-19.11,-100.00,0.00,-19.11,-100.00,0.00,-19.11,-100.00,0.00,-19.11,-100.00,0.00,-19.11,-100.00,***,***,***,***,***,***,0.00,-19.11,-100.00,***,***,***,6.62,-12.49,-65.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,0.54,0.00,-0.54,-100.00,0.00,-0.54,-100.00,0.00,-0.54,-100.00,0.00,-0.54,-100.00,0.00,-0.54,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.54,-100.00,0.00,-0.54,-100.00,0.00,-0.54,-100.00,0.00,-0.54,-100.00,0.00,-0.54,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,16.00,0.00,-16.00,-100.00,0.00,-16.00,-100.00,0.00,-16.00,-100.00,1.30,-14.70,-91.90,0.00,-16.00,-100.00,0.00,-16.00,-100.00,0.57,-15.43,-96.44,1.27,-14.73,-92.06,0.69,-15.31,-95.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,4.18,0.00,-4.18,-100.00,0.00,-4.18,-100.00,0.00,-4.18,-100.00,0.00,-4.18,-100.00,0.00,-4.18,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-4.18,-100.00,0.00,-4.18,-100.00,0.00,-4.18,-100.00,0.00,-4.18,-100.00,4.95,0.78,18.57,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70,7.70,***,10.06,10.06,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,0.65,0.44,-0.20,-31.65,0.36,-0.29,-44.64,0.28,-0.36,-56.26,0.39,-0.26,-39.61,0.28,-0.36,-56.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.65,-100.00,0.00,-0.65,-100.00,0.64,-0.01,-1.58,0.00,-0.65,-100.00,4.62,3.97,615.34,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,8.44,0.00,-8.44,-100.00,0.00,-8.44,-100.00,2.95,-5.49,-65.05,4.71,-3.73,-44.23,3.67,-4.77,-56.52,4.49,-3.96,-46.86,3.42,-5.02,-59.47,3.34,-5.11,-60.49,2.98,-5.46,-64.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-62,32.24,0.36,-31.88,-98.88,0.36,-31.88,-98.88,0.36,-31.88,-98.88,0.00,-32.24,-100.00,0.38,-31.86,-98.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,-31.84,-98.76,1.43,-30.81,-95.57,0.30,-31.94,-99.07,0.00,-32.24,-100.00,2.61,-29.63,-91.90,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-63,12.64,0.63,-12.01,-95.02,0.63,-12.01,-95.02,0.47,-12.17,-96.26,0.40,-12.23,-96.80,0.00,-12.64,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.81,-11.83,-93.61,0.00,-12.64,-100.00,0.29,-12.34,-97.67,0.28,-12.36,-97.78,5.14,-7.50,-59.37,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-64,4.42,4.70,0.28,6.23,4.70,0.28,6.23,2.08,-2.34,-53.02,0.87,-3.55,-80.36,1.62,-2.80,-63.24,0.85,-3.57,-80.77,2.24,-2.18,-49.26,2.15,-2.27,-51.41,0.19,-4.23,-95.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-65,14.20,0.00,-14.20,-100.00,0.96,-13.24,-93.24,1.18,-13.02,-91.70,1.09,-13.11,-92.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.32,0.11,0.80,9.82,-4.39,-30.89,***,***,***,***,***,***
ABCO-66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.98,6.98,***,0.65,0.65,***,***,***,***,***,***,***
ABCO-77,0.00,2.42,2.42,***,6.58,6.58,***,2.55,2.55,***,11.01,11.01,***,5.35,5.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.74,1.74,***,***,***,***,***,***,***,***,***,***
ABCO-78,7.70,0.00,-7.70,-100.00,0.00,-7.70,-100.00,0.00,-7.70,-100.00,0.00,-7.70,-100.00,3.77,-3.93,-51.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.70,0.00,0.00,***,***,***,***,***,***,***,***,***
Mean,8.77,0.53,8.24,93.91,0.99,7.78,88.67,0.72,8.05,91.84,1.50,7.27,82.86,1.08,7.69,87.72,1.33,7.44,84.79,3.48,5.29,60.27,2.80,5.97,68.05,0.97,7.80,88.99,3.31,5.46,62.24,0.49,8.28,94.38,0.62,8.15,92.89,0.20,8.56,97.66,0.40,8.37,95.45,4.15,4.62,52.70,10.00,-1.23,-14.07,9.08,-0.31,-3.49,60.37,-51.60,-588.39,12.63,-3.86,-44.01
