ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,4.25,0.21,-4.04,-95.13,0.00,-4.25,-100.00,0.00,-4.25,-100.00,0.00,-4.25,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.53,2.28,53.73,9.19,4.94,116.31,12.11,7.86,184.94,10.09,5.84,137.48,15.24,10.99,258.54,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,19.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.20,-10.89,-57.04,13.14,-5.95,-31.18,18.74,-0.35,-1.85,10.08,-9.02,-47.23
ABCO-54,0.19,6.44,6.25,3222.18,6.44,6.25,3222.18,6.34,6.15,3172.13,1.21,1.02,524.91,1.04,0.85,436.11,***,***,***,***,***,***,3.78,3.59,1851.54,***,***,***,4.44,4.25,2191.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,2.43,0.26,-2.17,-89.16,0.26,-2.17,-89.16,0.31,-2.12,-87.22,2.55,0.12,4.84,14.04,11.60,476.79,***,***,***,***,***,***,19.74,17.31,711.30,***,***,***,13.93,11.49,472.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,0.35,0.00,-0.35,-100.00,0.00,-0.35,-100.00,0.00,-0.35,-100.00,0.61,0.26,72.15,0.33,-0.02,-6.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.35,-100.00,0.00,-0.35,-100.00,0.21,-0.14,-40.85,0.00,-0.35,-100.00,0.27,-0.08,-23.44,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,2.31,3.23,0.92,39.89,3.60,1.29,55.80,2.04,-0.27,-11.79,0.86,-1.45,-62.85,1.12,-1.19,-51.39,5.41,3.10,134.44,5.53,3.23,139.78,6.73,4.42,191.37,7.88,5.57,241.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,7.10,4.28,-2.83,-39.79,4.28,-2.83,-39.79,2.71,-4.39,-61.86,4.13,-2.98,-41.89,23.81,16.71,235.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.59,3.49,49.16,7.74,0.64,9.00,10.22,3.12,43.93,19.03,11.93,167.96,3.91,-3.19,-44.94,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,0.21,0.00,-0.21,-100.00,0.00,-0.21,-100.00,0.00,-0.21,-100.00,0.00,-0.21,-100.00,15.92,15.71,7592.40,10.16,9.96,4810.09,9.50,9.29,4488.28,2.81,2.60,1255.60,12.14,11.93,5763.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,0.20,0.35,0.15,77.78,0.35,0.15,77.78,0.25,0.06,28.44,0.27,0.07,36.11,2.62,2.43,1237.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.26,5.07,2586.41,5.33,5.14,2622.27,5.21,5.01,2558.85,8.36,8.17,4167.29,4.09,3.89,1984.52,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,6.09,3.11,-2.98,-48.97,3.06,-3.02,-49.68,0.66,-5.43,-89.17,1.84,-4.24,-69.70,7.88,1.80,29.52,7.96,1.87,30.69,7.61,1.53,25.08,8.33,2.24,36.87,10.77,4.68,76.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
