ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,1.77,0.39,-1.37,-77.76,0.23,-1.53,-86.83,0.38,-1.39,-78.75,0.18,-1.58,-89.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.09,-1.68,-95.18,0.12,-1.64,-93.06,0.36,-1.41,-79.75,0.15,-1.62,-91.64,0.39,-1.38,-77.90,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,0.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.85,0.26,42.68,1.01,0.41,68.20,0.81,0.21,35.56,0.61,0.01,1.67
ABCO-54,0.39,0.36,-0.03,-7.10,0.26,-0.13,-32.90,0.74,0.35,90.97,0.76,0.37,96.13,0.27,-0.12,-29.68,***,***,***,***,***,***,0.18,-0.21,-54.19,***,***,***,0.17,-0.22,-57.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,0.71,0.24,-0.47,-66.43,0.10,-0.61,-86.22,0.56,-0.15,-20.49,0.39,-0.32,-44.88,0.11,-0.60,-84.45,***,***,***,***,***,***,0.15,-0.56,-79.15,***,***,***,0.14,-0.57,-80.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,0.48,0.15,-0.33,-68.95,0.02,-0.46,-96.84,0.34,-0.13,-27.89,0.45,-0.03,-5.79,0.09,-0.38,-80.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.11,-0.37,-76.84,0.11,-0.37,-77.89,0.08,-0.39,-82.63,0.08,-0.39,-82.63,0.18,-0.30,-62.11,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,0.16,0.08,-0.08,-49.21,0.06,-0.10,-63.49,0.01,-0.15,-96.83,0.40,0.25,155.56,0.03,-0.13,-79.37,0.13,-0.03,-19.05,0.07,-0.09,-55.56,0.20,0.04,23.81,0.23,0.07,42.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,1.21,0.05,-1.16,-96.27,0.02,-1.19,-98.76,0.34,-0.87,-71.84,0.37,-0.84,-69.77,0.03,-1.18,-97.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.06,-1.15,-95.24,0.01,-1.20,-99.17,0.01,-1.20,-99.38,0.05,-1.16,-95.65,0.03,-1.18,-97.93,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,0.26,0.33,0.08,30.39,0.26,0.00,0.98,0.40,0.14,55.88,0.46,0.20,79.41,0.21,-0.04,-16.67,0.15,-0.10,-40.20,0.29,0.04,14.71,0.41,0.15,59.80,0.13,-0.13,-50.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,0.63,0.47,-0.17,-26.19,0.27,-0.36,-56.75,0.51,-0.12,-19.05,0.61,-0.02,-3.57,0.25,-0.39,-61.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.47,-0.16,-25.00,0.44,-0.19,-30.16,0.67,0.04,6.35,0.36,-0.27,-43.25,0.92,0.29,45.63,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,0.63,0.32,-0.31,-48.81,0.36,-0.27,-43.25,0.14,-0.49,-77.78,0.60,-0.03,-4.76,0.28,-0.36,-56.35,0.46,-0.17,-27.38,0.34,-0.29,-46.43,0.57,-0.06,-9.92,0.16,-0.47,-74.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
