ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,34.28,7.62,-26.65,-77.76,4.52,-29.76,-86.83,7.28,-26.99,-78.75,3.54,-30.73,-89.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.65,-32.63,-95.18,2.38,-31.90,-93.06,6.94,-27.33,-79.75,2.86,-31.41,-91.64,7.57,-26.70,-77.90,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,11.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,16.56,4.95,42.68,19.52,7.91,68.20,15.73,4.13,35.56,11.80,0.19,1.67
ABCO-54,7.53,6.99,-0.53,-7.10,5.05,-2.48,-32.90,14.37,6.85,90.97,14.76,7.23,96.13,5.29,-2.23,-29.68,***,***,***,***,***,***,3.45,-4.08,-54.19,***,***,***,3.20,-4.32,-57.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,13.74,4.61,-9.13,-66.43,1.89,-11.85,-86.22,10.92,-2.82,-20.49,7.57,-6.17,-44.88,2.14,-11.60,-84.45,***,***,***,***,***,***,2.86,-10.88,-79.15,***,***,***,2.67,-11.07,-80.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,9.22,2.86,-6.36,-68.95,0.29,-8.93,-96.84,6.65,-2.57,-27.89,8.69,-0.53,-5.79,1.80,-7.43,-80.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.14,-7.09,-76.84,2.04,-7.19,-77.89,1.60,-7.62,-82.63,1.60,-7.62,-82.63,3.50,-5.73,-62.11,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,3.06,1.55,-1.51,-49.21,1.12,-1.94,-63.49,0.10,-2.96,-96.83,7.82,4.76,155.56,0.63,-2.43,-79.37,2.48,-0.58,-19.05,1.36,-1.70,-55.56,3.79,0.73,23.81,4.37,1.31,42.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,23.45,0.87,-22.58,-96.27,0.29,-23.16,-98.76,6.60,-16.85,-71.84,7.09,-16.36,-69.77,0.49,-22.96,-97.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.12,-22.33,-95.24,0.19,-23.26,-99.17,0.15,-23.30,-99.38,1.02,-22.43,-95.65,0.49,-22.96,-97.93,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,4.95,6.46,1.51,30.39,5.00,0.05,0.98,7.72,2.77,55.88,8.88,3.93,79.41,4.13,-0.83,-16.67,2.96,-1.99,-40.20,5.68,0.73,14.71,7.91,2.96,59.80,2.43,-2.52,-50.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,12.23,9.03,-3.20,-26.19,5.29,-6.94,-56.75,9.90,-2.33,-19.05,11.80,-0.44,-3.57,4.76,-7.48,-61.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.18,-3.06,-25.00,8.55,-3.69,-30.16,13.01,0.78,6.35,6.94,-5.29,-43.25,17.82,5.58,45.63,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,12.23,6.26,-5.97,-48.81,6.94,-5.29,-43.25,2.72,-9.52,-77.78,11.65,-0.58,-4.76,5.34,-6.89,-56.35,8.88,-3.35,-27.38,6.55,-5.68,-46.43,11.02,-1.21,-9.92,3.16,-9.08,-74.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
