ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,0.11,0.15,0.05,42.86,0.25,0.14,133.33,0.29,0.18,173.81,0.32,0.21,202.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,0.15,142.86,0.23,0.12,116.67,0.15,0.04,38.10,0.33,0.23,214.29,0.57,0.46,440.48,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,0.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.52,-0.09,-14.11,0.40,-0.20,-33.61,0.59,-0.01,-1.66,0.38,-0.22,-36.93
ABCO-54,0.26,0.14,-0.12,-47.06,0.36,0.10,40.20,0.17,-0.08,-32.35,0.24,-0.02,-7.84,0.33,0.08,29.41,***,***,***,***,***,***,0.26,0.01,1.96,***,***,***,0.35,0.09,35.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,0.52,0.07,-0.45,-86.41,0.34,-0.17,-33.50,0.49,-0.02,-4.37,0.35,-0.17,-32.52,0.35,-0.16,-31.55,***,***,***,***,***,***,0.17,-0.35,-67.96,***,***,***,0.39,-0.13,-25.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,0.52,0.07,-0.45,-86.89,0.28,-0.24,-46.12,0.25,-0.26,-50.97,0.26,-0.25,-49.03,0.35,-0.17,-32.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,-0.26,-49.51,0.18,-0.34,-65.78,0.19,-0.33,-63.59,0.20,-0.31,-60.68,0.40,-0.12,-22.82,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,0.30,0.03,-0.27,-90.08,0.20,-0.11,-34.71,0.47,0.17,56.20,0.21,-0.10,-31.40,0.44,0.14,44.63,0.34,0.04,13.22,0.24,-0.06,-20.66,0.33,0.03,9.92,0.29,-0.01,-3.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,0.78,0.03,-0.75,-96.47,0.17,-0.61,-78.21,0.41,-0.37,-47.76,0.59,-0.19,-24.68,0.51,-0.27,-34.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.14,-0.65,-82.69,0.27,-0.52,-66.03,0.12,-0.66,-84.29,0.10,-0.69,-87.82,0.34,-0.45,-57.05,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,0.39,0.16,-0.23,-58.71,0.42,0.03,7.74,0.12,-0.27,-69.68,0.21,-0.18,-46.45,0.61,0.22,56.77,0.33,-0.06,-14.84,0.60,0.21,54.84,0.29,-0.10,-24.52,0.18,-0.21,-53.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,0.66,0.22,-0.44,-66.92,0.66,0.00,0.00,0.22,-0.44,-66.16,0.39,-0.27,-41.44,0.97,0.31,47.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,-0.34,-51.71,0.38,-0.28,-42.59,0.25,-0.41,-62.36,0.31,-0.35,-52.47,0.70,0.04,5.70,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,0.39,0.13,-0.26,-66.23,0.36,-0.02,-5.84,0.55,0.16,41.56,0.33,-0.06,-14.94,0.54,0.15,39.61,0.27,-0.12,-30.52,0.34,-0.05,-12.99,0.13,-0.26,-66.88,0.35,-0.04,-9.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
