ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,0.85,1.22,0.37,42.86,1.99,1.14,133.33,2.34,1.48,173.81,2.58,1.73,202.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.07,1.22,142.86,1.85,1.00,116.67,1.18,0.33,38.10,2.68,1.83,214.29,4.61,3.76,440.48,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,4.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.21,-0.69,-14.11,3.25,-1.65,-33.61,4.82,-0.08,-1.66,3.09,-1.81,-36.93
ABCO-54,2.07,1.10,-0.98,-47.06,2.91,0.83,40.20,1.40,-0.67,-32.35,1.91,-0.16,-7.84,2.68,0.61,29.41,***,***,***,***,***,***,2.11,0.04,1.96,***,***,***,2.81,0.73,35.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,4.19,0.57,-3.62,-86.41,2.78,-1.40,-33.50,4.00,-0.18,-4.37,2.83,-1.36,-32.52,2.87,-1.32,-31.55,***,***,***,***,***,***,1.34,-2.85,-67.96,***,***,***,3.13,-1.06,-25.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,4.19,0.55,-3.64,-86.89,2.26,-1.93,-46.12,2.05,-2.13,-50.97,2.13,-2.05,-49.03,2.85,-1.34,-32.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.11,-2.07,-49.51,1.43,-2.75,-65.78,1.52,-2.66,-63.59,1.65,-2.54,-60.68,3.23,-0.96,-22.82,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,2.46,0.24,-2.22,-90.08,1.61,-0.85,-34.71,3.84,1.38,56.20,1.69,-0.77,-31.40,3.56,1.10,44.63,2.78,0.33,13.22,1.95,-0.51,-20.66,2.70,0.24,9.92,2.38,-0.08,-3.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,6.34,0.22,-6.12,-96.47,1.38,-4.96,-78.21,3.31,-3.03,-47.76,4.78,-1.57,-24.68,4.17,-2.18,-34.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.10,-5.24,-82.69,2.15,-4.19,-66.03,1.00,-5.35,-84.29,0.77,-5.57,-87.82,2.72,-3.62,-57.05,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,3.15,1.30,-1.85,-58.71,3.39,0.24,7.74,0.96,-2.20,-69.68,1.69,-1.46,-46.45,4.94,1.79,56.77,2.68,-0.47,-14.84,4.88,1.73,54.84,2.38,-0.77,-24.52,1.46,-1.69,-53.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,5.35,1.77,-3.58,-66.92,5.35,0.00,0.00,1.81,-3.54,-66.16,3.13,-2.22,-41.44,7.87,2.52,47.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.58,-2.76,-51.71,3.07,-2.28,-42.59,2.01,-3.33,-62.36,2.54,-2.81,-52.47,5.65,0.30,5.70,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,3.13,1.06,-2.07,-66.23,2.95,-0.18,-5.84,4.43,1.30,41.56,2.66,-0.47,-14.94,4.37,1.24,39.61,2.18,-0.96,-30.52,2.72,-0.41,-12.99,1.04,-2.09,-66.88,2.83,-0.30,-9.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-62,7.34,1.24,-6.10,-83.10,4.78,-2.56,-34.90,4.98,-2.36,-32.13,2.40,-4.94,-67.31,5.81,-1.52,-20.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.03,-4.31,-58.73,2.85,-4.49,-61.22,1.36,-5.98,-81.44,4.45,-2.89,-39.34,7.85,0.51,6.93,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-63,2.66,0.87,-1.79,-67.18,4.13,1.46,54.96,3.62,0.96,35.88,3.74,1.08,40.46,4.29,1.63,61.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.50,-1.16,-43.51,2.13,-0.54,-20.14,2.11,-0.55,-20.61,2.38,-0.28,-10.69,2.97,0.30,11.45,***,***,***,***,***,***,***,***,***,***,***,***
