ProjectUnit = White Fir
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year13-Attr,01Year13-Diff,01Year13-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year18-Attr,01Year18-Diff,01Year18-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR02-Attr,00PR02-Diff,00PR02-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff
ABCO-52,63.34,10.87,-52.47,-82.84,12.16,-51.18,-80.80,12.89,-50.44,-79.64,7.67,-55.67,-87.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.53,-49.81,-78.65,17.15,-46.18,-72.92,21.74,-41.60,-65.68,24.69,-38.65,-61.02,39.56,-23.77,-37.53,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-53,49.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,50.84,1.51,3.06,56.48,7.15,14.50,104.75,55.42,112.34,43.42,-5.91,-11.98
ABCO-54,12.95,15.81,2.86,22.11,16.56,3.61,27.88,22.67,9.72,75.09,22.75,9.81,75.72,10.53,-2.42,-18.68,***,***,***,***,***,***,18.12,5.17,39.94,***,***,***,15.40,2.45,18.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-55,41.63,5.85,-35.78,-85.95,5.44,-36.19,-86.94,16.10,-25.53,-61.32,15.00,-26.63,-63.98,22.11,-19.52,-46.90,***,***,***,***,***,***,29.02,-12.61,-30.30,***,***,***,28.90,-12.73,-30.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-56,15.40,4.89,-10.52,-68.28,4.64,-10.77,-69.90,9.91,-5.50,-35.68,12.27,-3.13,-20.33,5.25,-10.16,-65.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.41,-9.99,-64.89,4.17,-11.23,-72.90,3.55,-11.85,-76.96,4.32,-11.09,-71.98,7.69,-7.72,-50.09,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-57,25.76,6.23,-19.53,-75.82,8.01,-17.75,-68.92,7.63,-18.13,-70.39,13.87,-11.89,-46.16,7.58,-18.18,-70.56,12.63,-13.13,-50.98,10.43,-15.33,-59.52,16.27,-9.49,-36.84,17.78,-7.99,-31.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-58,45.95,7.20,-38.75,-84.33,8.10,-37.85,-82.37,14.72,-31.24,-67.97,16.79,-29.17,-63.47,33.48,-12.47,-27.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,15.00,-30.95,-67.35,11.70,-34.25,-74.54,13.21,-32.74,-71.26,23.71,-22.24,-48.41,13.64,-32.31,-70.31,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-59,8.97,8.64,-0.32,-3.58,9.08,0.11,1.23,9.43,0.46,5.13,11.20,2.23,24.92,26.51,17.55,195.73,17.62,8.65,96.50,30.62,21.66,241.57,28.08,19.11,213.18,22.15,13.19,147.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-60,19.11,12.17,-6.94,-36.33,12.00,-7.11,-37.19,12.85,-6.26,-32.74,16.02,-3.09,-16.15,17.46,-1.65,-8.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,19.11,0.00,0.01,19.31,0.21,1.08,22.37,3.26,17.06,25.94,6.83,35.75,40.97,21.86,114.41,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-61,31.15,12.24,-18.91,-60.70,14.87,-16.28,-52.26,12.94,-18.20,-58.44,23.31,-7.84,-25.18,23.23,-7.92,-25.44,26.83,-4.31,-13.85,22.42,-8.73,-28.02,25.67,-5.48,-17.59,24.47,-6.68,-21.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
ABCO-62,61.44,11.08,-50.36,-81.97,10.89,-50.56,-82.28,20.44,-41.01,-66.74,19.23,-42.21,-68.70,13.84,-47.60,-77.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,21.96,-39.48,-64.26,15.76,-45.68,-74.34,22.92,-38.52,-62.70,22.62,-38.82,-63.19,34.11,-27.34,-44.49,***,***,***,***,***,***,***,***,***,***,***,***
