ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,1.37,1.60,0.23,16.67,***,***,***,***,***,***,***,***,***,1.37,0.00,0.00
B:FABCO1D08:02,1.82,2.51,0.68,37.50,***,***,***,***,***,***,***,***,***,3.42,1.60,87.50
B:FABCO1D08:03,0.91,0.61,-0.30,-33.33,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,1.29,1.83,0.53,41.18,***,***,***,***,***,***,***,***,***,0.53,-0.76,-58.82
B:FABCO1D08:12,2.74,1.60,-1.14,-41.67,***,***,***,***,***,***,***,***,***,1.83,-0.91,-33.33
B:FABCO1D08:05,***,2.36,***,***,1.37,***,***,1.37,***,***,1.07,***,***,2.82,***,***
B:FABCO1D08:06,***,4.04,***,***,0.38,***,***,0.38,***,***,1.37,***,***,3.35,***,***
B:FABCO1D08:07,***,3.27,***,***,***,***,***,0.61,***,***,0.53,***,***,***,***,***
B:FABCO1D08:08,***,0.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,1.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,2.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,1.24,***,***,***,***,***,0.70,***,***,0.24,***,***,***,***,***
B:FABCO1D08:14,***,1.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,1.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,2.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,0.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,2.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,2.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,1.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,3.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,1.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,1.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.63,1.86,-0.23,-14.40,0.88,0.75,46.18,0.77,0.86,52.96,0.80,0.83,50.73,2.22,-0.59,-36.41
