ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,1.23,17.36,16.13,1308.97,***,***,***,***,***,***,***,***,***,6.76,5.52,448.46
B:FABCO1D08:02,3.59,0.00,-3.59,-100.00,***,***,***,***,***,***,***,***,***,0.31,-3.28,-91.41
B:FABCO1D08:03,1.68,0.00,-1.68,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,6.98,11.38,4.40,63.00,***,***,***,***,***,***,***,***,***,2.06,-4.92,-70.46
B:FABCO1D08:12,0.00,3.41,3.41,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B:FABCO1D08:05,***,5.86,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***
B:FABCO1D08:06,***,6.58,***,***,3.28,***,***,3.28,***,***,2.11,***,***,1.07,***,***
B:FABCO1D08:07,***,0.83,***,***,***,***,***,25.25,***,***,0.00,***,***,***,***,***
B:FABCO1D08:08,***,1.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,10.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,1.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,26.14,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***
B:FABCO1D08:14,***,2.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,1.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,11.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,25.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,24.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,12.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,21.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,9.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,6.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,1.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,20.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.70,9.28,-6.58,-244.22,1.64,1.06,39.20,7.13,-4.44,-164.62,0.53,2.17,80.39,1.70,1.00,36.96
