ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,1.67,1.59,-0.09,-5.09,***,***,***,***,***,***,***,***,***,0.87,-0.80,-47.90
B:FABCO1D08:02,1.97,1.03,-0.94,-47.84,***,***,***,***,***,***,***,***,***,0.93,-1.04,-52.93
B:FABCO1D08:03,2.70,0.85,-1.86,-68.64,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,2.68,2.12,-0.55,-20.65,***,***,***,***,***,***,***,***,***,1.05,-1.63,-60.93
B:FABCO1D08:12,1.15,0.65,-0.50,-43.14,***,***,***,***,***,***,***,***,***,0.93,-0.22,-18.95
B:FABCO1D08:05,***,0.97,***,***,0.28,***,***,0.28,***,***,0.27,***,***,0.67,***,***
B:FABCO1D08:06,***,1.97,***,***,0.15,***,***,0.15,***,***,0.05,***,***,0.76,***,***
B:FABCO1D08:07,***,1.21,***,***,***,***,***,0.34,***,***,0.27,***,***,***,***,***
B:FABCO1D08:08,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,2.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,2.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,2.00,***,***,***,***,***,0.30,***,***,0.28,***,***,***,***,***
B:FABCO1D08:14,***,2.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,1.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,3.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,1.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,1.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,1.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,1.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,1.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,1.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,2.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,1.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,1.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.03,1.60,0.43,21.28,0.22,1.82,89.42,0.27,1.76,86.84,0.22,1.81,89.27,0.87,1.17,57.35
