ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,16.67,15.82,-0.85,-5.09,***,***,***,***,***,***,***,***,***,8.68,-7.99,-47.90
B:FABCO1D08:02,19.62,10.23,-9.38,-47.84,***,***,***,***,***,***,***,***,***,9.23,-10.38,-52.93
B:FABCO1D08:03,26.98,8.46,-18.52,-68.64,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,26.70,21.19,-5.52,-20.65,***,***,***,***,***,***,***,***,***,10.43,-16.27,-60.93
B:FABCO1D08:12,11.45,6.51,-4.94,-43.14,***,***,***,***,***,***,***,***,***,9.28,-2.17,-18.95
B:FABCO1D08:05,***,9.71,***,***,2.80,***,***,2.80,***,***,2.70,***,***,6.71,***,***
B:FABCO1D08:06,***,19.69,***,***,1.50,***,***,1.50,***,***,0.52,***,***,7.56,***,***
B:FABCO1D08:07,***,12.10,***,***,***,***,***,3.37,***,***,2.67,***,***,***,***,***
B:FABCO1D08:08,***,6.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,23.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,26.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,19.94,***,***,***,***,***,3.02,***,***,2.82,***,***,***,***,***
B:FABCO1D08:14,***,21.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,11.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,36.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,12.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,16.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,11.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,15.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,16.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,19.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,20.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,10.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,11.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,20.28,15.97,4.32,21.28,2.15,18.14,89.42,2.67,17.61,86.84,2.18,18.11,89.27,8.65,11.63,57.35
