ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,1.18,0.22,-0.96,-81.36,***,***,***,***,***,***,***,***,***,0.41,-0.77,-65.04
B:FABCO1D08:02,1.04,1.05,0.01,1.20,***,***,***,***,***,***,***,***,***,0.56,-0.48,-46.02
B:FABCO1D08:03,0.99,1.07,0.08,8.08,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,1.21,0.98,-0.23,-19.09,***,***,***,***,***,***,***,***,***,0.32,-0.88,-73.24
B:FABCO1D08:12,0.20,0.65,0.45,219.75,***,***,***,***,***,***,***,***,***,0.43,0.23,113.58
B:FABCO1D08:05,***,0.39,***,***,0.50,***,***,0.50,***,***,0.38,***,***,0.24,***,***
B:FABCO1D08:06,***,0.20,***,***,0.25,***,***,0.25,***,***,0.49,***,***,0.24,***,***
B:FABCO1D08:07,***,0.90,***,***,***,***,***,0.55,***,***,0.33,***,***,***,***,***
B:FABCO1D08:08,***,1.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,0.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,0.20,***,***,***,***,***,0.29,***,***,0.29,***,***,***,***,***
B:FABCO1D08:14,***,0.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,2.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,0.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,0.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,0.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.92,0.60,0.32,35.18,0.38,0.55,59.37,0.40,0.53,57.14,0.37,0.55,59.71,0.37,0.56,60.14
