ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,5.89,1.10,-4.79,-81.36,***,***,***,***,***,***,***,***,***,2.06,-3.83,-65.04
B:FABCO1D08:02,5.18,5.24,0.06,1.20,***,***,***,***,***,***,***,***,***,2.80,-2.38,-46.02
B:FABCO1D08:03,4.94,5.34,0.40,8.08,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,6.01,4.87,-1.15,-19.09,***,***,***,***,***,***,***,***,***,1.61,-4.40,-73.24
B:FABCO1D08:12,1.01,3.23,2.22,219.75,***,***,***,***,***,***,***,***,***,2.16,1.15,113.58
B:FABCO1D08:05,***,1.95,***,***,2.51,***,***,2.51,***,***,1.91,***,***,1.20,***,***
B:FABCO1D08:06,***,0.97,***,***,1.24,***,***,1.24,***,***,2.43,***,***,1.20,***,***
B:FABCO1D08:07,***,4.49,***,***,***,***,***,2.73,***,***,1.66,***,***,***,***,***
B:FABCO1D08:08,***,6.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,3.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,2.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,0.97,***,***,***,***,***,1.42,***,***,1.42,***,***,***,***,***
B:FABCO1D08:14,***,2.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,1.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,13.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,3.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,0.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,0.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,1.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,2.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,2.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,1.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,4.61,2.99,1.62,35.18,1.87,2.74,59.37,1.97,2.63,57.14,1.86,2.75,59.71,1.84,2.77,60.14
