ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FABCO1D08:01,54.68,53.44,-1.24,-2.27,***,***,***,***,***,***,***,***,***,34.70,-19.98,-36.54
B:FABCO1D08:02,36.49,30.92,-5.57,-15.27,***,***,***,***,***,***,***,***,***,35.69,-0.80,-2.19
B:FABCO1D08:03,45.10,17.20,-27.90,-61.86,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,45.30,47.17,1.88,4.14,***,***,***,***,***,***,***,***,***,21.97,-23.32,-51.49
B:FABCO1D08:12,27.91,17.53,-10.37,-37.17,***,***,***,***,***,***,***,***,***,22.37,-5.53,-19.82
B:FABCO1D08:05,***,41.68,***,***,11.50,***,***,11.50,***,***,10.33,***,***,26.79,***,***
B:FABCO1D08:06,***,38.23,***,***,8.54,***,***,8.54,***,***,9.36,***,***,28.79,***,***
B:FABCO1D08:07,***,156.49,***,***,***,***,***,37.31,***,***,40.44,***,***,***,***,***
B:FABCO1D08:08,***,17.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,96.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,***,37.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,***,52.34,***,***,***,***,***,5.98,***,***,5.98,***,***,***,***,***
B:FABCO1D08:14,***,38.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:15,***,18.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,67.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:17,***,75.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,46.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,***,35.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,***,42.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,39.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,30.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:10,***,55.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:18,***,19.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:FABCO1D08:19,***,36.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,41.89,46.41,-4.51,-10.77,10.02,31.87,76.08,15.83,26.06,62.21,16.53,25.37,60.55,28.39,13.51,32.24
