ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,0.06,***,***,***,0.03,-0.02,-42.86,0.03,-0.02,-42.86,0.02,-0.04,-71.43,0.02,-0.04,-71.43,0.01,-0.04,-78.57,0.01,-0.04,-78.57,0.05,-0.01,-14.29,0.05,-0.01,-14.29,0.04,-0.02,-35.71,***,***,***,0.01,-0.04,-78.57
B:FPIPO1D09:02,0.04,***,***,***,0.04,-0.01,-18.18,0.04,-0.01,-18.11,0.04,0.00,-9.08,0.04,0.00,-9.01,0.02,-0.02,-45.49,0.02,-0.02,-45.49,0.02,-0.03,-63.60,0.02,-0.03,-63.60,0.12,0.08,172.64,0.00,-0.04,-100.00,0.05,0.01,18.15
B:FPIPO1D09:03,0.01,***,***,***,0.04,0.02,200.06,0.04,0.02,200.06,0.01,0.00,-33.28,0.01,0.00,-33.28,0.03,0.02,133.62,0.03,0.02,133.62,0.09,0.08,667.01,0.09,0.08,667.01,0.15,0.14,1167.24,***,***,***,0.02,0.01,66.68
B:FPIPO1D09:04,0.04,***,***,***,0.04,0.00,0.00,0.04,0.00,0.00,0.01,-0.03,-77.81,0.01,-0.03,-77.81,0.00,-0.04,-100.00,***,***,***,0.01,-0.03,-77.81,0.01,-0.03,-77.81,0.04,0.00,0.23,0.00,-0.04,-100.00,0.00,-0.04,-100.00
B:FPIPO1D09:05,0.05,0.05,0.00,0.00,***,***,***,***,***,***,0.09,0.04,83.32,0.09,0.04,83.32,0.04,0.00,-8.33,0.04,0.00,-8.33,0.03,-0.02,-41.70,0.03,-0.02,-41.70,0.03,-0.02,-41.68,***,***,***,0.03,-0.02,-33.36
B:FPIPO1D09:06,0.03,0.03,0.00,0.00,***,***,***,***,***,***,0.00,-0.03,-87.50,0.00,-0.03,-87.50,0.01,-0.02,-75.00,0.01,-0.02,-75.00,0.03,0.00,-0.01,0.03,0.00,-0.01,0.07,0.04,125.02,***,***,***,0.06,0.03,100.02
B:FPIPO1D09:07,0.14,0.14,0.00,0.01,***,***,***,***,***,***,0.06,-0.08,-55.56,0.06,-0.08,-55.56,0.05,-0.09,-63.90,0.05,-0.09,-63.90,0.07,-0.07,-50.01,0.07,-0.07,-50.00,0.06,-0.08,-58.32,***,***,***,0.01,-0.14,-94.44
B:FPIPO1D09:08,0.06,***,***,***,0.04,-0.02,-31.26,0.04,-0.02,-31.26,0.03,-0.03,-50.00,0.03,-0.03,-50.00,0.01,-0.06,-87.50,0.01,-0.06,-87.50,0.03,-0.04,-56.25,0.03,-0.04,-56.25,0.01,-0.05,-81.25,0.00,-0.06,-100.00,0.01,-0.06,-87.50
B:FPIPO1D09:09,0.12,***,***,***,0.08,-0.05,-38.71,0.08,-0.05,-38.71,0.04,-0.08,-64.52,0.04,-0.08,-64.52,0.00,-0.12,-96.78,0.00,-0.12,-96.78,0.05,-0.07,-58.04,0.05,-0.07,-58.04,0.09,-0.03,-25.80,0.00,-0.12,-100.00,0.02,-0.11,-87.10
B:FPIPO1D09:11,0.03,0.03,0.00,0.00,***,***,***,***,***,***,0.02,-0.01,-28.54,0.02,-0.01,-28.54,0.01,-0.02,-57.13,0.01,-0.02,-57.13,0.02,-0.01,-28.57,0.02,-0.01,-28.57,0.02,-0.01,-28.56,***,***,***,0.01,-0.02,-71.43
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,0.10,***,***,***,***,***,0.13,***,***,***,***,***,0.04,***,***,0.04,***,***,0.14,***,***,0.00,***,***,0.27,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,0.06,***,***,0.06,***,***,0.01,***,***,0.01,***,***,0.01,***,***,0.01,***,***,0.02,***,***,***,***,***,0.04,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,0.02,***,***,0.02,***,***,0.02,***,***,***,***,***,0.02,***,***,0.02,***,***,0.00,***,***,***,***,***,0.08,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,0.04,***,***,***,***,***,0.03,***,***,***,***,***,0.02,***,***,0.02,***,***,0.01,***,***,0.00,***,***,0.01,***,***
Mean,0.06,0.06,0.00,-7.13,0.04,0.02,26.28,0.04,0.02,26.27,0.04,0.02,33.41,0.03,0.02,42.14,0.03,0.03,54.32,0.02,0.04,65.97,0.03,0.02,41.18,0.03,0.02,41.18,0.06,0.00,2.30,0.00,0.06,100.00,0.04,0.01,24.69
