ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,0.77,***,***,***,0.00,-0.77,-100.00,0.37,-0.40,-52.26,0.62,-0.16,-20.09,0.31,-0.46,-60.05,2.18,1.41,181.88,1.72,0.95,123.25,0.21,-0.56,-72.32,0.11,-0.67,-86.16,0.97,0.20,26.12,***,***,***,0.00,-0.77,-100.00
B:FPIPO1D09:02,0.97,***,***,***,1.45,0.47,48.82,3.16,2.19,225.17,0.00,-0.97,-100.00,0.00,-0.97,-100.00,0.69,-0.28,-29.08,0.48,-0.49,-50.10,0.00,-0.97,-100.00,0.00,-0.97,-100.00,0.64,-0.33,-33.96,0.00,-0.97,-100.00,8.16,7.18,739.81
B:FPIPO1D09:03,0.28,***,***,***,0.00,-0.28,-100.00,0.00,-0.28,-100.00,0.35,0.07,26.56,0.59,0.31,110.69,0.00,-0.28,-100.00,0.24,-0.04,-14.44,0.00,-0.28,-100.00,0.00,-0.28,-100.00,0.00,-0.28,-100.00,***,***,***,0.00,-0.28,-100.00
B:FPIPO1D09:04,0.00,***,***,***,0.00,0.00,0.00,0.96,0.96,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B:FPIPO1D09:05,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.83,0.83,***,0.62,0.62,***,4.93,4.93,***,2.47,2.47,***,4.61,4.61,***,2.31,2.31,***,2.44,2.44,***,***,***,***,1.26,1.26,***
B:FPIPO1D09:06,3.39,5.26,1.87,55.15,***,***,***,***,***,***,0.00,-3.39,-100.00,0.00,-3.39,-100.00,0.00,-3.39,-100.00,0.00,-3.39,-100.00,0.34,-3.05,-90.02,0.17,-3.22,-95.01,0.00,-3.39,-100.00,***,***,***,19.23,15.85,467.75
B:FPIPO1D09:07,0.00,2.77,2.77,***,***,***,***,***,***,***,0.74,0.74,***,3.30,3.30,***,0.00,0.00,0.00,0.45,0.45,***,0.00,0.00,0.00,0.16,0.16,***,1.91,1.91,***,***,***,***,1.85,1.85,***
B:FPIPO1D09:08,0.00,***,***,***,0.53,0.53,***,0.26,0.26,***,0.53,0.53,***,0.50,0.50,***,0.58,0.58,***,0.37,0.37,***,0.82,0.82,***,0.72,0.72,***,0.48,0.48,***,0.00,0.00,0.00,1.84,1.84,***
B:FPIPO1D09:09,0.00,***,***,***,9.65,9.65,***,13.89,13.89,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.22,3.22,***,9.30,9.30,***,0.00,0.00,0.00,7.84,7.84,***
B:FPIPO1D09:11,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,6.84,6.84,***
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,15.39,***,***,***,***,***,0.50,***,***,***,***,***,1.29,***,***,0.64,***,***,2.56,***,***,0.00,***,***,1.65,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,1.17,***,***,0.59,***,***,0.76,***,***,0.38,***,***,1.17,***,***,0.59,***,***,1.52,***,***,***,***,***,2.48,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,0.00,***,***,3.10,***,***,0.00,***,***,***,***,***,0.66,***,***,0.33,***,***,6.86,***,***,***,***,***,0.00,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.49,***,***,***,***,***,0.53,***,***,0.26,***,***,0.94,***,***,0.00,***,***,0.18,***,***
Mean,0.54,2.01,-1.47,-270.95,1.94,-1.40,-258.01,3.11,-2.57,-474.30,1.40,-0.86,-159.10,0.75,-0.21,-38.74,0.72,-0.18,-33.69,0.61,-0.07,-13.06,0.69,-0.15,-27.13,0.61,-0.07,-12.27,1.97,-1.43,-264.58,0.00,0.54,100.00,3.67,-3.13,-577.55
