ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,1.23,***,***,***,2.55,1.31,106.47,2.34,1.10,89.34,8.77,7.53,610.59,5.20,3.97,321.87,1.80,0.57,46.25,2.01,0.78,63.21,3.10,1.86,151.18,2.26,1.03,83.38,3.48,2.24,181.92,***,***,***,17.01,15.78,1279.28
B:FPIPO1D09:02,9.51,***,***,***,15.94,6.43,67.64,20.94,11.43,120.25,14.99,5.48,57.61,20.08,10.57,111.21,22.92,13.41,141.06,26.11,16.60,174.64,5.46,-4.05,-42.55,17.34,7.83,82.36,7.88,-1.63,-17.13,0.00,-9.51,-100.00,0.00,-9.51,-100.00
B:FPIPO1D09:03,11.51,***,***,***,9.53,-1.98,-17.22,11.70,0.19,1.62,10.54,-0.97,-8.39,9.41,-2.10,-18.23,8.37,-3.14,-27.26,17.69,6.18,53.73,9.50,-2.01,-17.45,9.82,-1.69,-14.71,14.36,2.85,24.74,***,***,***,6.35,-5.16,-44.86
B:FPIPO1D09:04,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.72,2.72,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B:FPIPO1D09:05,1.39,6.95,5.56,399.58,***,***,***,***,***,***,1.00,-0.39,-27.79,9.38,7.99,573.78,2.97,1.58,113.20,2.36,0.97,69.44,0.21,-1.18,-84.94,2.25,0.85,61.41,0.00,-1.39,-100.00,***,***,***,0.29,-1.11,-79.46
B:FPIPO1D09:06,12.22,6.35,-5.88,-48.07,***,***,***,***,***,***,38.54,26.31,215.31,22.43,10.21,83.56,50.78,38.56,315.48,25.39,13.17,107.74,27.66,15.44,126.31,20.41,8.19,67.04,28.02,15.79,129.23,***,***,***,0.37,-11.85,-96.95
B:FPIPO1D09:07,3.99,2.00,-2.00,-50.00,***,***,***,***,***,***,2.43,-1.56,-39.07,1.22,-2.78,-69.53,11.95,7.96,199.35,6.84,2.85,71.27,12.43,8.43,211.15,7.46,3.46,86.72,2.01,-1.99,-49.77,***,***,***,2.85,-1.14,-28.53
B:FPIPO1D09:08,4.46,***,***,***,49.15,44.69,1001.95,39.80,35.34,792.25,5.92,1.46,32.69,5.10,0.64,14.32,75.86,71.40,1600.81,59.17,54.71,1226.56,59.31,54.85,1229.62,49.87,45.41,1018.12,45.93,41.47,929.63,0.00,-4.46,-100.00,44.21,39.75,891.26
B:FPIPO1D09:09,19.47,***,***,***,0.27,-19.20,-98.62,9.81,-9.65,-49.60,14.45,-5.02,-25.79,30.19,10.73,55.10,18.76,-0.70,-3.62,20.87,1.41,7.22,17.31,-2.16,-11.09,20.58,1.11,5.71,7.30,-12.16,-62.48,0.00,-19.47,-100.00,7.44,-12.03,-61.79
B:FPIPO1D09:11,10.35,14.49,4.14,39.98,***,***,***,***,***,***,7.55,-2.80,-27.06,17.65,7.30,70.57,10.39,0.04,0.37,12.71,2.36,22.85,11.49,1.15,11.07,13.32,2.97,28.67,7.57,-2.78,-26.84,***,***,***,0.00,-10.35,-100.00
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,18.53,***,***,***,***,***,6.43,***,***,***,***,***,14.36,***,***,13.20,***,***,13.01,***,***,0.00,***,***,20.04,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,12.94,***,***,7.06,***,***,15.59,***,***,8.04,***,***,13.75,***,***,7.11,***,***,15.05,***,***,***,***,***,9.85,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,84.13,***,***,43.00,***,***,66.31,***,***,***,***,***,87.42,***,***,45.47,***,***,60.13,***,***,***,***,***,76.47,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,18.74,***,***,***,***,***,9.97,***,***,***,***,***,13.20,***,***,7.27,***,***,17.46,***,***,0.00,***,***,95.16,***,***
Mean,7.41,7.45,-0.03,-0.44,12.91,-5.49,-74.09,14.10,-6.68,-90.16,17.04,-9.62,-129.82,14.23,-6.81,-91.92,21.77,-14.36,-193.72,18.12,-10.71,-144.43,19.66,-12.24,-165.17,15.45,-8.04,-108.46,15.87,-8.46,-114.08,0.00,7.41,100.00,20.00,-12.59,-169.84
