ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,0.71,***,***,***,1.14,0.43,61.13,1.14,0.43,61.13,1.27,0.57,79.86,1.27,0.57,79.86,0.79,0.09,12.01,0.79,0.09,12.01,0.65,-0.06,-8.83,0.65,-0.06,-8.83,0.76,0.05,7.42,***,***,***,1.14,0.44,61.48
B:FPIPO1D09:02,0.51,***,***,***,0.39,-0.13,-24.51,0.39,-0.13,-24.51,1.11,0.60,117.65,1.11,0.60,117.65,0.54,0.03,5.88,0.54,0.03,5.88,0.72,0.21,40.69,0.72,0.21,40.69,1.05,0.54,106.37,0.00,-0.51,-100.00,1.51,1.00,196.57
B:FPIPO1D09:03,0.52,***,***,***,0.38,-0.14,-26.70,0.38,-0.14,-26.70,0.85,0.33,64.56,0.85,0.33,64.56,0.47,-0.05,-8.74,0.47,-0.05,-8.74,0.78,0.27,51.46,0.78,0.27,51.46,0.81,0.29,56.80,***,***,***,0.74,0.23,43.69
B:FPIPO1D09:04,0.36,***,***,***,0.36,0.00,0.00,0.36,0.00,0.00,0.87,0.52,144.06,0.87,0.52,144.06,0.53,0.17,47.55,***,***,***,0.67,0.31,86.01,0.67,0.31,86.01,0.35,-0.01,-2.80,0.00,-0.36,-100.00,0.66,0.30,83.22
B:FPIPO1D09:05,1.23,1.23,0.00,0.00,***,***,***,***,***,***,2.15,0.92,74.80,2.15,0.92,74.80,0.93,-0.30,-24.19,0.93,-0.30,-24.19,0.82,-0.42,-33.74,0.82,-0.42,-33.74,1.41,0.18,14.63,***,***,***,1.73,0.50,40.45
B:FPIPO1D09:06,1.20,1.20,0.00,0.00,***,***,***,***,***,***,0.70,-0.49,-41.21,0.70,-0.49,-41.21,0.45,-0.75,-62.34,0.45,-0.75,-62.34,0.99,-0.21,-17.36,0.99,-0.21,-17.36,0.69,-0.51,-42.43,***,***,***,1.25,0.05,4.60
B:FPIPO1D09:07,1.92,1.92,0.00,0.00,***,***,***,***,***,***,0.97,-0.96,-49.74,0.97,-0.96,-49.74,0.69,-1.23,-64.06,0.69,-1.23,-64.06,0.66,-1.27,-65.89,0.66,-1.27,-65.89,0.89,-1.03,-53.78,***,***,***,0.84,-1.08,-56.12
B:FPIPO1D09:08,1.28,***,***,***,1.08,-0.20,-15.66,1.08,-0.20,-15.66,1.50,0.22,17.03,1.50,0.22,17.03,0.65,-0.63,-49.32,0.65,-0.63,-49.32,1.05,-0.23,-18.20,1.05,-0.23,-18.20,0.80,-0.48,-37.18,0.00,-1.28,-100.00,1.37,0.09,7.24
B:FPIPO1D09:09,1.77,***,***,***,0.28,-1.49,-84.28,0.28,-1.49,-84.28,1.05,-0.72,-40.79,1.05,-0.72,-40.79,0.69,-1.08,-60.91,0.69,-1.08,-60.91,1.23,-0.54,-30.45,1.23,-0.54,-30.45,0.88,-0.89,-50.14,0.00,-1.77,-100.00,1.21,-0.56,-31.59
B:FPIPO1D09:11,0.77,0.77,0.00,0.00,***,***,***,***,***,***,0.82,0.05,5.83,0.82,0.05,5.83,0.88,0.11,14.24,0.88,0.11,14.24,1.04,0.26,33.98,1.04,0.26,33.98,0.34,-0.43,-55.66,***,***,***,1.17,0.40,51.78
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,1.12,***,***,***,***,***,1.02,***,***,***,***,***,0.71,***,***,0.71,***,***,1.03,***,***,0.00,***,***,1.05,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,1.01,***,***,1.01,***,***,0.59,***,***,0.59,***,***,0.81,***,***,0.81,***,***,1.29,***,***,***,***,***,1.45,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,1.43,***,***,1.43,***,***,0.43,***,***,***,***,***,0.69,***,***,0.69,***,***,0.86,***,***,***,***,***,1.01,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,1.11,***,***,***,***,***,0.58,***,***,***,***,***,0.79,***,***,0.79,***,***,0.96,***,***,0.00,***,***,0.90,***,***
Mean,1.03,1.28,-0.25,-24.82,0.60,0.42,41.22,0.60,0.42,41.22,1.14,-0.11,-11.10,1.14,-0.12,-11.48,0.66,0.37,35.61,0.67,0.36,34.76,0.83,0.20,19.43,0.83,0.20,19.43,0.87,0.16,15.61,0.00,1.03,100.00,1.14,-0.12,-11.66
