ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,7.06,***,***,***,11.38,4.32,61.13,11.38,4.32,61.13,12.70,5.64,79.86,12.70,5.64,79.86,7.91,0.85,12.01,7.91,0.85,12.01,6.44,-0.62,-8.83,6.44,-0.62,-8.83,7.59,0.52,7.42,***,***,***,11.41,4.34,61.48
B:FPIPO1D09:02,5.09,***,***,***,3.84,-1.25,-24.51,3.84,-1.25,-24.51,11.08,5.99,117.65,11.08,5.99,117.65,5.39,0.30,5.88,5.39,0.30,5.88,7.16,2.07,40.69,7.16,2.07,40.69,10.51,5.42,106.37,0.00,-5.09,-100.00,15.10,10.01,196.57
B:FPIPO1D09:03,5.14,***,***,***,3.77,-1.37,-26.70,3.77,-1.37,-26.70,8.46,3.32,64.56,8.46,3.32,64.56,4.69,-0.45,-8.74,4.69,-0.45,-8.74,7.79,2.65,51.46,7.79,2.65,51.46,8.06,2.92,56.80,***,***,***,7.39,2.25,43.69
B:FPIPO1D09:04,3.57,***,***,***,3.57,0.00,0.00,3.57,0.00,0.00,8.71,5.14,144.06,8.71,5.14,144.06,5.27,1.70,47.55,***,***,***,6.64,3.07,86.01,6.64,3.07,86.01,3.47,-0.10,-2.80,0.00,-3.57,-100.00,6.54,2.97,83.22
B:FPIPO1D09:05,12.28,12.28,0.00,0.00,***,***,***,***,***,***,21.46,9.18,74.80,21.46,9.18,74.80,9.31,-2.97,-24.19,9.31,-2.97,-24.19,8.14,-4.14,-33.74,8.14,-4.14,-33.74,14.08,1.80,14.63,***,***,***,17.24,4.97,40.45
B:FPIPO1D09:06,11.93,11.93,0.00,0.00,***,***,***,***,***,***,7.01,-4.92,-41.21,7.01,-4.92,-41.21,4.49,-7.44,-62.34,4.49,-7.44,-62.34,9.86,-2.07,-17.36,9.86,-2.07,-17.36,6.87,-5.06,-42.43,***,***,***,12.48,0.55,4.60
B:FPIPO1D09:07,19.17,19.17,0.00,0.00,***,***,***,***,***,***,9.63,-9.53,-49.74,9.63,-9.53,-49.74,6.89,-12.28,-64.06,6.89,-12.28,-64.06,6.54,-12.63,-65.89,6.54,-12.63,-65.89,8.86,-10.31,-53.78,***,***,***,8.41,-10.76,-56.12
B:FPIPO1D09:08,12.75,***,***,***,10.76,-2.00,-15.66,10.76,-2.00,-15.66,14.92,2.17,17.03,14.92,2.17,17.03,6.46,-6.29,-49.32,6.46,-6.29,-49.32,10.43,-2.32,-18.20,10.43,-2.32,-18.20,8.01,-4.74,-37.18,0.00,-12.75,-100.00,13.68,0.92,7.24
B:FPIPO1D09:09,17.62,***,***,***,2.77,-14.85,-84.28,2.77,-14.85,-84.28,10.43,-7.19,-40.79,10.43,-7.19,-40.79,6.89,-10.73,-60.91,6.89,-10.73,-60.91,12.25,-5.37,-30.45,12.25,-5.37,-30.45,8.78,-8.83,-50.14,0.00,-17.62,-100.00,12.05,-5.57,-31.59
B:FPIPO1D09:11,7.71,7.71,0.00,0.00,***,***,***,***,***,***,8.16,0.45,5.83,8.16,0.45,5.83,8.81,1.10,14.24,8.81,1.10,14.24,10.33,2.62,33.98,10.33,2.62,33.98,3.42,-4.29,-55.66,***,***,***,11.70,3.99,51.78
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,11.16,***,***,***,***,***,10.18,***,***,***,***,***,7.06,***,***,7.06,***,***,10.31,***,***,0.00,***,***,10.46,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,10.08,***,***,10.08,***,***,5.91,***,***,5.91,***,***,8.04,***,***,8.04,***,***,12.85,***,***,***,***,***,14.42,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,14.23,***,***,14.23,***,***,4.24,***,***,***,***,***,6.86,***,***,6.86,***,***,8.56,***,***,***,***,***,10.08,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,11.11,***,***,***,***,***,5.79,***,***,***,***,***,7.89,***,***,7.89,***,***,9.53,***,***,0.00,***,***,8.98,***,***
Mean,10.23,12.77,-2.54,-24.82,6.01,4.22,41.22,6.01,4.22,41.22,11.37,-1.14,-11.10,11.41,-1.18,-11.48,6.59,3.64,35.61,6.68,3.56,34.76,8.24,1.99,19.43,8.24,1.99,19.43,8.64,1.60,15.61,0.00,10.23,100.00,11.42,-1.19,-11.66
