ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,1.60,***,***,***,0.62,-0.98,-61.15,0.62,-0.98,-61.15,1.87,0.27,16.85,1.87,0.27,16.85,0.33,-1.28,-79.56,0.33,-1.28,-79.56,0.66,-0.94,-58.81,0.66,-0.94,-58.81,0.92,-0.69,-42.90,***,***,***,0.91,-0.69,-43.06
B:FPIPO1D09:02,1.19,***,***,***,0.90,-0.30,-24.95,0.90,-0.30,-24.95,0.91,-0.28,-23.69,0.91,-0.28,-23.69,0.81,-0.39,-32.49,0.81,-0.39,-32.49,0.70,-0.49,-41.30,0.70,-0.49,-41.30,0.99,-0.20,-16.98,0.00,-1.19,-100.00,0.87,-0.33,-27.46
B:FPIPO1D09:03,1.08,***,***,***,0.37,-0.71,-65.66,0.37,-0.71,-65.66,1.11,0.03,2.55,1.11,0.03,2.55,0.56,-0.52,-48.03,0.56,-0.52,-48.03,0.56,-0.52,-47.80,0.56,-0.52,-47.80,1.12,0.05,4.18,***,***,***,0.80,-0.28,-25.75
B:FPIPO1D09:04,1.23,***,***,***,1.23,0.00,0.00,1.23,0.00,0.00,0.90,-0.33,-26.68,0.90,-0.33,-26.68,0.45,-0.78,-63.75,***,***,***,0.59,-0.64,-52.34,0.59,-0.64,-52.34,0.97,-0.26,-21.38,0.00,-1.23,-100.00,0.58,-0.65,-52.75
B:FPIPO1D09:05,1.57,1.57,0.00,0.00,***,***,***,***,***,***,0.66,-0.91,-57.96,0.66,-0.91,-57.96,0.91,-0.67,-42.36,0.91,-0.67,-42.36,0.40,-1.17,-74.52,0.40,-1.17,-74.52,1.17,-0.40,-25.32,***,***,***,1.00,-0.57,-36.31
B:FPIPO1D09:06,1.58,1.58,0.00,0.00,***,***,***,***,***,***,0.73,-0.85,-53.72,0.73,-0.85,-53.72,0.52,-1.06,-66.88,0.52,-1.06,-66.88,0.35,-1.23,-77.97,0.35,-1.23,-77.97,0.87,-0.71,-44.85,***,***,***,0.81,-0.77,-48.49
B:FPIPO1D09:07,0.93,0.93,0.00,0.00,***,***,***,***,***,***,0.41,-0.52,-55.76,0.41,-0.52,-55.76,0.54,-0.39,-42.09,0.54,-0.39,-42.09,0.89,-0.04,-4.29,0.89,-0.04,-4.29,0.45,-0.48,-51.74,***,***,***,0.54,-0.39,-41.82
B:FPIPO1D09:08,1.48,***,***,***,0.43,-1.05,-71.07,0.43,-1.05,-71.07,1.02,-0.46,-31.30,1.02,-0.46,-31.30,0.68,-0.80,-54.31,0.68,-0.80,-54.31,0.08,-1.40,-94.92,0.08,-1.40,-94.92,1.14,-0.34,-22.67,0.00,-1.48,-100.00,0.96,-0.52,-35.19
B:FPIPO1D09:09,1.50,***,***,***,1.70,0.21,13.69,1.70,0.21,13.69,1.13,-0.37,-24.37,1.13,-0.37,-24.37,0.84,-0.66,-43.74,0.84,-0.66,-43.74,0.50,-1.00,-66.61,0.50,-1.00,-66.61,1.17,-0.33,-22.04,0.00,-1.50,-100.00,0.71,-0.79,-52.92
B:FPIPO1D09:11,1.57,1.57,0.00,0.00,***,***,***,***,***,***,0.40,-1.18,-74.72,0.40,-1.18,-74.72,0.71,-0.86,-54.69,0.71,-0.86,-54.69,0.92,-0.66,-41.81,0.92,-0.66,-41.81,1.40,-0.17,-10.97,***,***,***,1.02,-0.55,-34.98
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,0.80,***,***,***,***,***,0.50,***,***,***,***,***,0.14,***,***,0.14,***,***,0.81,***,***,0.00,***,***,0.84,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,0.61,***,***,0.61,***,***,0.59,***,***,0.59,***,***,0.71,***,***,0.71,***,***,1.18,***,***,***,***,***,0.82,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,1.58,***,***,1.58,***,***,0.51,***,***,***,***,***,0.76,***,***,0.76,***,***,0.99,***,***,***,***,***,0.66,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,1.02,***,***,***,***,***,0.37,***,***,***,***,***,0.30,***,***,0.30,***,***,0.87,***,***,0.00,***,***,0.93,***,***
Mean,1.37,1.41,-0.04,-2.94,0.87,0.50,36.32,0.87,0.50,36.32,0.94,0.43,31.59,0.94,0.43,31.24,0.59,0.78,56.88,0.65,0.73,52.83,0.54,0.83,60.78,0.54,0.83,60.78,1.00,0.37,26.96,0.00,1.37,100.00,0.82,0.56,40.43
