ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,8.00,***,***,***,3.11,-4.89,-61.15,3.11,-4.89,-61.15,9.35,1.35,16.85,9.35,1.35,16.85,1.63,-6.36,-79.56,1.63,-6.36,-79.56,3.29,-4.70,-58.81,3.29,-4.70,-58.81,4.57,-3.43,-42.90,***,***,***,4.55,-3.44,-43.06
B:FPIPO1D09:02,5.95,***,***,***,4.47,-1.48,-24.95,4.47,-1.48,-24.95,4.54,-1.41,-23.69,4.54,-1.41,-23.69,4.02,-1.93,-32.49,4.02,-1.93,-32.49,3.49,-2.46,-41.30,3.49,-2.46,-41.30,4.94,-1.01,-16.98,0.00,-5.95,-100.00,4.32,-1.63,-27.46
B:FPIPO1D09:03,5.38,***,***,***,1.85,-3.53,-65.66,1.85,-3.53,-65.66,5.52,0.14,2.55,5.52,0.14,2.55,2.80,-2.58,-48.03,2.80,-2.58,-48.03,2.81,-2.57,-47.80,2.81,-2.57,-47.80,5.60,0.22,4.18,***,***,***,3.99,-1.39,-25.75
B:FPIPO1D09:04,6.13,***,***,***,6.13,0.00,0.00,6.13,0.00,0.00,4.49,-1.63,-26.68,4.49,-1.63,-26.68,2.22,-3.91,-63.75,***,***,***,2.92,-3.21,-52.34,2.92,-3.21,-52.34,4.82,-1.31,-21.38,0.00,-6.13,-100.00,2.89,-3.23,-52.75
B:FPIPO1D09:05,7.84,7.84,0.00,0.00,***,***,***,***,***,***,3.29,-4.54,-57.96,3.29,-4.54,-57.96,4.52,-3.32,-42.36,4.52,-3.32,-42.36,2.00,-5.84,-74.52,2.00,-5.84,-74.52,5.85,-1.98,-25.32,***,***,***,4.99,-2.85,-36.31
B:FPIPO1D09:06,7.87,7.87,0.00,0.00,***,***,***,***,***,***,3.64,-4.23,-53.72,3.64,-4.23,-53.72,2.61,-5.27,-66.88,2.61,-5.27,-66.88,1.73,-6.14,-77.97,1.73,-6.14,-77.97,4.34,-3.53,-44.85,***,***,***,4.06,-3.82,-48.49
B:FPIPO1D09:07,4.65,4.65,0.00,0.00,***,***,***,***,***,***,2.06,-2.60,-55.76,2.06,-2.60,-55.76,2.70,-1.96,-42.09,2.70,-1.96,-42.09,4.45,-0.20,-4.29,4.45,-0.20,-4.29,2.25,-2.41,-51.74,***,***,***,2.71,-1.95,-41.82
B:FPIPO1D09:08,7.37,***,***,***,2.13,-5.24,-71.07,2.13,-5.24,-71.07,5.07,-2.31,-31.30,5.07,-2.31,-31.30,3.37,-4.01,-54.31,3.37,-4.01,-54.31,0.37,-7.00,-94.92,0.37,-7.00,-94.92,5.70,-1.67,-22.67,0.00,-7.37,-100.00,4.78,-2.60,-35.19
B:FPIPO1D09:09,7.47,***,***,***,8.50,1.02,13.69,8.50,1.02,13.69,5.65,-1.82,-24.37,5.65,-1.82,-24.37,4.21,-3.27,-43.74,4.21,-3.27,-43.74,2.50,-4.98,-66.61,2.50,-4.98,-66.61,5.83,-1.65,-22.04,0.00,-7.47,-100.00,3.52,-3.96,-52.92
B:FPIPO1D09:11,7.85,7.85,0.00,0.00,***,***,***,***,***,***,1.98,-5.86,-74.72,1.98,-5.86,-74.72,3.56,-4.29,-54.69,3.56,-4.29,-54.69,4.57,-3.28,-41.81,4.57,-3.28,-41.81,6.99,-0.86,-10.97,***,***,***,5.10,-2.75,-34.98
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,4.01,***,***,***,***,***,2.48,***,***,***,***,***,0.69,***,***,0.69,***,***,4.03,***,***,0.00,***,***,4.18,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,3.04,***,***,3.04,***,***,2.92,***,***,2.92,***,***,3.53,***,***,3.53,***,***,5.88,***,***,***,***,***,4.09,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,7.90,***,***,7.90,***,***,2.52,***,***,***,***,***,3.79,***,***,3.79,***,***,4.94,***,***,***,***,***,3.29,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,5.08,***,***,***,***,***,1.82,***,***,***,***,***,1.47,***,***,1.47,***,***,4.33,***,***,0.00,***,***,4.65,***,***
Mean,6.85,7.05,-0.20,-2.94,4.36,2.49,36.32,4.36,2.49,36.32,4.69,2.16,31.59,4.71,2.14,31.24,2.95,3.90,56.88,3.23,3.62,52.83,2.69,4.16,60.78,2.69,4.16,60.78,5.00,1.85,26.96,0.00,6.85,100.00,4.08,2.77,40.43
