ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pro1_alt-Attr,00Pro1_alt-Diff,00Pro1_alt-%Diff,00Pro2-Attr,00Pro2-Diff,00Pro2-%Diff,00Pro2_alt-Attr,00Pro2_alt-Diff,00Pro2_alt-%Diff,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Pre_alt-Attr,00Pre_alt-Diff,00Pre_alt-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Post_alt-Attr,01Post_alt-Diff,01Post_alt-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr01_alt-Attr,01Yr01_alt-Diff,01Yr01_alt-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr02_alt-Attr,01Yr02_alt-Diff,01Yr02_alt-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff
B:FPIPO1D09:01,23.11,***,***,***,21.91,-1.20,-5.21,22.07,-1.05,-4.53,36.37,13.26,57.36,32.50,9.39,40.61,16.34,-6.77,-29.30,16.10,-7.02,-30.36,15.37,-7.75,-33.52,14.42,-8.69,-37.60,18.46,-4.65,-20.13,***,***,***,38.75,15.63,67.63
B:FPIPO1D09:02,24.38,***,***,***,29.14,4.77,19.55,35.86,11.49,47.13,34.97,10.60,43.47,40.07,15.70,64.41,36.68,12.31,50.49,39.68,15.30,62.78,20.38,-4.00,-16.40,32.26,7.89,32.36,30.69,6.31,25.90,0.00,-24.38,-100.00,29.82,5.45,22.34
B:FPIPO1D09:03,24.07,***,***,***,18.29,-5.78,-24.00,20.46,-3.61,-14.99,28.68,4.61,19.17,27.78,3.72,15.44,18.93,-5.14,-21.37,28.49,4.42,18.35,22.32,-1.75,-7.29,22.63,-1.44,-5.98,29.92,5.85,24.30,***,***,***,19.49,-4.57,-19.01
B:FPIPO1D09:04,11.94,***,***,***,11.94,0.00,0.00,12.90,0.96,8.08,14.58,2.64,22.15,14.58,2.64,22.15,11.42,-0.51,-4.30,***,***,***,11.24,-0.70,-5.85,11.24,-0.70,-5.85,9.24,-2.70,-22.63,0.00,-11.94,-100.00,11.03,-0.91,-7.59
B:FPIPO1D09:05,23.38,28.94,5.56,23.78,***,***,***,***,***,***,28.13,4.75,20.29,36.29,12.90,55.18,23.90,0.51,2.20,20.83,-2.56,-10.93,16.73,-6.65,-28.45,16.47,-6.92,-29.59,23.15,-0.23,-0.98,***,***,***,24.96,1.58,6.74
B:FPIPO1D09:06,38.48,34.48,-4.01,-10.41,***,***,***,***,***,***,53.59,15.11,39.26,37.49,-0.99,-2.58,60.24,21.76,56.53,34.85,-3.63,-9.44,42.12,3.64,9.46,34.71,-3.77,-9.80,41.27,2.79,7.24,***,***,***,48.03,9.55,24.81
B:FPIPO1D09:07,30.23,31.01,0.78,2.57,***,***,***,***,***,***,22.13,-8.10,-26.80,23.48,-6.75,-22.33,24.85,-5.38,-17.80,20.19,-10.04,-33.22,26.75,-3.48,-11.51,21.95,-8.29,-27.41,24.04,-6.20,-20.49,***,***,***,19.02,-11.22,-37.11
B:FPIPO1D09:08,27.62,***,***,***,65.88,38.26,138.56,56.26,28.64,103.73,29.05,1.44,5.20,28.20,0.59,2.14,89.39,61.78,223.71,72.49,44.87,162.50,74.53,46.91,169.89,64.99,37.37,135.34,63.09,35.47,128.45,0.00,-27.62,-100.00,67.10,39.48,142.97
B:FPIPO1D09:09,51.44,***,***,***,26.05,-25.39,-49.36,39.83,-11.61,-22.56,36.41,-15.02,-29.21,52.16,0.72,1.41,32.44,-18.99,-36.93,34.55,-16.88,-32.82,35.83,-15.61,-30.34,42.32,-9.12,-17.73,35.87,-15.57,-30.27,0.00,-51.44,-100.00,33.22,-18.22,-35.42
B:FPIPO1D09:11,27.75,31.89,4.14,14.91,***,***,***,***,***,***,18.85,-8.91,-32.09,28.95,1.20,4.32,25.42,-2.34,-8.42,27.74,-0.01,-0.04,28.84,1.08,3.91,30.66,2.91,10.47,20.50,-7.26,-26.15,***,***,***,25.09,-2.66,-9.60
B:FPIPO1D09:10,***,***,***,***,***,***,***,***,***,***,55.62,***,***,***,***,***,23.74,***,***,***,***,***,25.86,***,***,24.06,***,***,35.12,***,***,0.00,***,***,40.46,***,***
B:FPIPO1D09:12,***,***,***,***,***,***,***,***,***,***,31.69,***,***,25.22,***,***,28.84,***,***,20.91,***,***,31.35,***,***,24.12,***,***,40.85,***,***,***,***,***,32.55,***,***
B:FPIPO1D09:13,***,***,***,***,***,***,***,***,***,***,108.95,***,***,70.91,***,***,75.45,***,***,***,***,***,100.81,***,***,58.52,***,***,82.09,***,***,***,***,***,97.99,***,***
B:FPIPO1D09:14,***,***,***,***,***,***,***,***,***,***,39.21,***,***,***,***,***,20.15,***,***,***,***,***,25.30,***,***,19.10,***,***,35.23,***,***,0.00,***,***,113.61,***,***
Mean,28.24,31.58,-3.34,-11.83,28.87,-0.63,-2.22,31.23,-2.99,-10.59,38.45,-10.21,-36.14,34.80,-6.56,-23.24,34.84,-6.60,-23.38,31.58,-3.34,-11.83,34.10,-5.86,-20.76,29.82,-1.58,-5.59,34.96,-6.72,-23.81,0.00,28.24,100.00,42.94,-14.70,-52.04
