ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,4.87,***,***,***,0.00,-4.87,-100.00,0.00,-4.87,-100.00
B:FTSME1BY08:02,3.95,***,***,***,1.52,-2.43,-61.54,0.91,-3.04,-76.92
B:FTSME1BY08:03,3.04,***,***,***,1.82,-1.22,-40.00,3.96,0.92,30.10
B:FTSME1BY08:04,0.00,***,***,***,0.00,0.00,0.00,0.61,0.61,***
C:FTSME1BY08:15,***,2.14,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,0.61,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,0.61,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,0.61,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,0.00,***,***,0.61,***,***
B:FTSME1BY08:06,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:07,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:08,***,***,***,***,0.30,***,***,1.85,***,***
B:FTSME1BY08:09,***,***,***,***,0.00,***,***,0.31,***,***
B:FTSME1BY08:10,***,***,***,***,0.30,***,***,1.53,***,***
B:FTSME1BY08:11,***,***,***,***,0.61,***,***,1.22,***,***
B:FTSME1BY08:12,***,***,***,***,0.61,***,***,1.88,***,***
B:FTSME1BY08:13,***,***,***,***,0.30,***,***,0.00,***,***
B:FTSME1BY08:14,***,***,***,***,0.00,***,***,0.00,***,***
Mean,2.96,0.99,1.97,66.50,0.39,2.57,86.81,0.92,2.05,68.99
