ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,1.89,***,***,***,1.89,0.00,0.00,3.93,2.04,108.03
B:FTSME1BY08:02,20.28,***,***,***,2.19,-18.09,-89.20,7.31,-12.97,-63.95
B:FTSME1BY08:03,68.74,***,***,***,0.00,-68.74,-100.00,3.42,-65.32,-95.02
B:FTSME1BY08:04,0.96,***,***,***,0.00,-0.96,-100.00,5.47,4.51,471.61
C:FTSME1BY08:15,***,33.94,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,0.00,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,15.27,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,10.27,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:06,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:07,***,***,***,***,0.00,***,***,9.02,***,***
B:FTSME1BY08:08,***,***,***,***,0.00,***,***,55.53,***,***
B:FTSME1BY08:09,***,***,***,***,15.30,***,***,29.77,***,***
B:FTSME1BY08:10,***,***,***,***,3.42,***,***,1.97,***,***
B:FTSME1BY08:11,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:12,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:13,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:14,***,***,***,***,2.60,***,***,14.68,***,***
Mean,22.97,14.87,8.10,35.25,1.81,21.15,92.10,9.36,13.60,59.23
