ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00
B:FTSME1BY08:02,85.53,***,***,***,32.45,-53.08,-62.06,54.41,-31.12,-36.39
B:FTSME1BY08:03,23.07,***,***,***,11.37,-11.70,-50.73,35.34,12.27,53.21
B:FTSME1BY08:04,8.52,***,***,***,6.61,-1.91,-22.39,4.17,-4.35,-51.09
C:FTSME1BY08:15,***,0.00,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,3.24,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,0.00,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,2.63,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,3.35,***,***,8.42,***,***
B:FTSME1BY08:06,***,***,***,***,16.43,***,***,20.52,***,***
B:FTSME1BY08:07,***,***,***,***,8.40,***,***,9.31,***,***
B:FTSME1BY08:08,***,***,***,***,64.16,***,***,0.00,***,***
B:FTSME1BY08:09,***,***,***,***,71.82,***,***,66.22,***,***
B:FTSME1BY08:10,***,***,***,***,5.24,***,***,3.95,***,***
B:FTSME1BY08:11,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:12,***,***,***,***,0.00,***,***,0.00,***,***
B:FTSME1BY08:13,***,***,***,***,27.98,***,***,62.95,***,***
B:FTSME1BY08:14,***,***,***,***,50.29,***,***,21.45,***,***
Mean,29.28,1.47,27.81,94.99,21.29,7.99,27.28,20.48,8.80,30.05
