ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,0.72,***,***,***,0.36,-0.36,-50.00,1.41,0.69,95.83
B:FTSME1BY08:02,1.79,***,***,***,0.18,-1.61,-89.94,0.79,-1.00,-55.87
B:FTSME1BY08:03,1.72,***,***,***,0.07,-1.65,-95.93,0.65,-1.07,-62.21
B:FTSME1BY08:04,0.89,***,***,***,0.00,-0.89,-100.00,0.05,-0.84,-94.38
C:FTSME1BY08:15,***,2.42,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,1.07,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,2.12,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,1.41,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,0.27,***,***,0.23,***,***
B:FTSME1BY08:06,***,***,***,***,0.00,***,***,0.13,***,***
B:FTSME1BY08:07,***,***,***,***,1.48,***,***,0.57,***,***
B:FTSME1BY08:08,***,***,***,***,0.74,***,***,0.65,***,***
B:FTSME1BY08:09,***,***,***,***,0.92,***,***,1.47,***,***
B:FTSME1BY08:10,***,***,***,***,0.20,***,***,0.34,***,***
B:FTSME1BY08:11,***,***,***,***,0.62,***,***,1.09,***,***
B:FTSME1BY08:12,***,***,***,***,0.53,***,***,0.46,***,***
B:FTSME1BY08:13,***,***,***,***,1.73,***,***,1.12,***,***
B:FTSME1BY08:14,***,***,***,***,0.42,***,***,0.28,***,***
Mean,1.28,1.76,-0.48,-37.11,0.54,0.74,58.04,0.66,0.62,48.44
