ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,7.19,***,***,***,3.59,-3.59,-50.00,14.08,6.89,95.83
B:FTSME1BY08:02,17.87,***,***,***,1.80,-16.07,-89.94,7.89,-9.98,-55.87
B:FTSME1BY08:03,17.17,***,***,***,0.70,-16.47,-95.93,6.49,-10.68,-62.21
B:FTSME1BY08:04,8.88,***,***,***,0.00,-8.88,-100.00,0.50,-8.39,-94.38
C:FTSME1BY08:15,***,24.16,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,10.68,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,21.16,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,14.08,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,2.70,***,***,2.30,***,***
B:FTSME1BY08:06,***,***,***,***,0.00,***,***,1.30,***,***
B:FTSME1BY08:07,***,***,***,***,14.77,***,***,5.69,***,***
B:FTSME1BY08:08,***,***,***,***,7.39,***,***,6.49,***,***
B:FTSME1BY08:09,***,***,***,***,9.18,***,***,14.67,***,***
B:FTSME1BY08:10,***,***,***,***,2.00,***,***,3.39,***,***
B:FTSME1BY08:11,***,***,***,***,6.19,***,***,10.88,***,***
B:FTSME1BY08:12,***,***,***,***,5.29,***,***,4.59,***,***
B:FTSME1BY08:13,***,***,***,***,17.27,***,***,11.18,***,***
B:FTSME1BY08:14,***,***,***,***,4.19,***,***,2.80,***,***
Mean,12.78,17.52,-4.74,-37.11,5.36,7.42,58.04,6.59,6.19,48.44
