ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,0.51,***,***,***,0.42,-0.09,-17.65,0.16,-0.35,-68.63
B:FTSME1BY08:02,0.81,***,***,***,0.31,-0.50,-61.73,0.33,-0.48,-59.26
B:FTSME1BY08:03,0.90,***,***,***,0.32,-0.58,-64.44,0.23,-0.67,-74.44
B:FTSME1BY08:04,0.25,***,***,***,0.20,-0.05,-20.00,0.32,0.07,28.00
C:FTSME1BY08:15,***,0.41,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,1.18,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,0.39,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,0.52,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,0.13,***,***,0.33,***,***
B:FTSME1BY08:06,***,***,***,***,0.10,***,***,0.16,***,***
B:FTSME1BY08:07,***,***,***,***,0.17,***,***,1.02,***,***
B:FTSME1BY08:08,***,***,***,***,0.14,***,***,0.26,***,***
B:FTSME1BY08:09,***,***,***,***,0.13,***,***,0.15,***,***
B:FTSME1BY08:10,***,***,***,***,0.18,***,***,0.03,***,***
B:FTSME1BY08:11,***,***,***,***,0.27,***,***,0.16,***,***
B:FTSME1BY08:12,***,***,***,***,0.36,***,***,0.02,***,***
B:FTSME1BY08:13,***,***,***,***,0.62,***,***,0.16,***,***
B:FTSME1BY08:14,***,***,***,***,0.25,***,***,0.14,***,***
Mean,0.62,0.63,-0.01,-1.21,0.26,0.36,58.36,0.25,0.37,59.86
