ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,2.55,***,***,***,2.10,-0.45,-17.65,0.80,-1.75,-68.63
B:FTSME1BY08:02,4.04,***,***,***,1.55,-2.50,-61.73,1.65,-2.40,-59.26
B:FTSME1BY08:03,4.49,***,***,***,1.60,-2.89,-64.44,1.15,-3.34,-74.44
B:FTSME1BY08:04,1.25,***,***,***,1.00,-0.25,-20.00,1.60,0.35,28.00
C:FTSME1BY08:15,***,2.05,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,5.89,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,1.95,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,2.60,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,0.65,***,***,1.65,***,***
B:FTSME1BY08:06,***,***,***,***,0.50,***,***,0.80,***,***
B:FTSME1BY08:07,***,***,***,***,0.85,***,***,5.09,***,***
B:FTSME1BY08:08,***,***,***,***,0.70,***,***,1.30,***,***
B:FTSME1BY08:09,***,***,***,***,0.65,***,***,0.75,***,***
B:FTSME1BY08:10,***,***,***,***,0.90,***,***,0.15,***,***
B:FTSME1BY08:11,***,***,***,***,1.35,***,***,0.80,***,***
B:FTSME1BY08:12,***,***,***,***,1.80,***,***,0.10,***,***
B:FTSME1BY08:13,***,***,***,***,3.09,***,***,0.80,***,***
B:FTSME1BY08:14,***,***,***,***,1.25,***,***,0.70,***,***
Mean,3.08,3.12,-0.04,-1.21,1.28,1.80,58.36,1.24,1.84,59.86
