ProjectUnit = FTSME1BY08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff
B:FTSME1BY08:01,17.00,***,***,***,8.90,-8.10,-47.63,20.28,3.29,19.34
B:FTSME1BY08:02,140.11,***,***,***,39.91,-100.19,-71.51,74.07,-66.04,-47.13
B:FTSME1BY08:03,122.18,***,***,***,16.23,-105.95,-86.71,55.00,-67.18,-54.99
B:FTSME1BY08:04,19.70,***,***,***,7.66,-12.05,-61.13,14.76,-4.95,-25.10
C:FTSME1BY08:15,***,66.21,***,***,***,***,***,***,***,***
C:FTSME1BY08:16,***,22.86,***,***,***,***,***,***,***,***
C:FTSME1BY08:17,***,38.99,***,***,***,***,***,***,***,***
C:FTSME1BY08:18,***,31.56,***,***,***,***,***,***,***,***
B:FTSME1BY08:05,***,***,***,***,8.08,***,***,14.18,***,***
B:FTSME1BY08:06,***,***,***,***,16.95,***,***,22.62,***,***
B:FTSME1BY08:07,***,***,***,***,25.38,***,***,31.99,***,***
B:FTSME1BY08:08,***,***,***,***,73.90,***,***,65.59,***,***
B:FTSME1BY08:09,***,***,***,***,96.97,***,***,111.83,***,***
B:FTSME1BY08:10,***,***,***,***,12.02,***,***,12.42,***,***
B:FTSME1BY08:11,***,***,***,***,8.51,***,***,16.62,***,***
B:FTSME1BY08:12,***,***,***,***,12.39,***,***,10.58,***,***
B:FTSME1BY08:13,***,***,***,***,49.89,***,***,75.17,***,***
B:FTSME1BY08:14,***,***,***,***,59.56,***,***,39.76,***,***
Mean,74.75,39.91,34.84,46.61,31.17,43.58,58.30,40.35,34.40,46.02
