ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,0.23,***,***,***,***,***,***,***,***,***,0.10,-0.12,-54.44,0.13,-0.10,-42.22,***,***,***,0.22,0.00,-1.11,0.02,-0.21,-92.22,0.00,-0.23,-100.00,0.13,-0.10,-43.33,0.03,-0.19,-85.56,0.14,-0.09,-38.89
B:FBOGR1T02:02,0.04,0.00,-0.04,-100.00,0.00,-0.04,-100.00,***,***,***,0.00,-0.04,-100.00,0.02,-0.02,-57.14,0.00,-0.04,-100.00,***,***,***,0.00,-0.04,-100.00,0.02,-0.01,-35.71,0.07,0.04,100.00,***,***,***,***,***,***
B:FBOGR1T02:03,0.01,0.00,-0.01,-100.00,0.02,0.01,166.67,***,***,***,0.00,-0.01,-100.00,0.00,-0.01,-100.00,0.00,-0.01,-100.00,***,***,***,0.01,0.00,33.33,0.01,0.00,0.00,0.01,0.00,0.00,***,***,***,***,***,***
B:FBOGR1T02:04,0.03,0.00,-0.03,-100.00,0.00,-0.03,-100.00,***,***,***,0.00,-0.03,-100.00,0.00,-0.03,-100.00,0.00,-0.03,-100.00,***,***,***,0.00,-0.03,-100.00,0.01,-0.02,-60.00,0.00,-0.03,-100.00,***,***,***,***,***,***
B:FBOGR1T02:05,0.00,***,***,***,0.01,0.01,***,0.00,0.00,0.00,***,***,***,0.02,0.02,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,0.02,***,***,***,0.01,-0.02,-66.67,0.00,-0.02,-100.00,***,***,***,0.00,-0.02,-100.00,***,***,***,0.00,-0.02,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,0.04,***,***,***,0.02,-0.02,-40.00,0.00,-0.04,-100.00,***,***,***,0.00,-0.04,-100.00,0.03,-0.01,-20.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,0.00,***,***,***,0.01,0.01,***,0.07,0.07,***,***,***,***,0.04,0.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.04,0.00,0.04,100.00,0.01,0.03,77.79,0.02,0.02,58.01,0.03,0.01,36.24,0.03,0.01,37.02,0.01,0.03,81.34,0.07,-0.03,-84.53,0.01,0.03,82.89,0.01,0.03,75.12,0.05,-0.01,-27.51,0.03,0.01,19.14,0.14,-0.10,-242.11
