ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,2.25,***,***,***,***,***,***,***,***,***,1.02,-1.22,-54.44,1.30,-0.95,-42.22,***,***,***,2.22,-0.02,-1.11,0.17,-2.07,-92.22,0.00,-2.25,-100.00,1.27,-0.97,-43.33,0.32,-1.92,-85.56,1.37,-0.87,-38.89
B:FBOGR1T02:02,0.35,0.00,-0.35,-100.00,0.00,-0.35,-100.00,***,***,***,0.00,-0.35,-100.00,0.15,-0.20,-57.14,0.00,-0.35,-100.00,***,***,***,0.00,-0.35,-100.00,0.22,-0.12,-35.71,0.70,0.35,100.00,***,***,***,***,***,***
B:FBOGR1T02:03,0.07,0.00,-0.07,-100.00,0.20,0.12,166.67,***,***,***,0.00,-0.07,-100.00,0.00,-0.07,-100.00,0.00,-0.07,-100.00,***,***,***,0.10,0.02,33.33,0.07,0.00,0.00,0.07,0.00,0.00,***,***,***,***,***,***
B:FBOGR1T02:04,0.25,0.00,-0.25,-100.00,0.00,-0.25,-100.00,***,***,***,0.00,-0.25,-100.00,0.00,-0.25,-100.00,0.00,-0.25,-100.00,***,***,***,0.00,-0.25,-100.00,0.10,-0.15,-60.00,0.00,-0.25,-100.00,***,***,***,***,***,***
B:FBOGR1T02:05,0.00,***,***,***,0.07,0.07,***,0.00,0.00,0.00,***,***,***,0.15,0.15,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,0.22,***,***,***,0.07,-0.15,-66.67,0.00,-0.22,-100.00,***,***,***,0.00,-0.22,-100.00,***,***,***,0.00,-0.22,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,0.37,***,***,***,0.22,-0.15,-40.00,0.00,-0.37,-100.00,***,***,***,0.00,-0.37,-100.00,0.30,-0.07,-20.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,0.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,0.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,0.00,***,***,***,0.05,0.05,***,0.67,0.67,***,***,***,***,0.42,0.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.40,0.00,0.40,100.00,0.09,0.31,77.79,0.17,0.23,58.01,0.26,0.15,36.24,0.25,0.15,37.02,0.07,0.33,81.34,0.74,-0.34,-84.53,0.07,0.33,82.89,0.10,0.30,75.12,0.51,-0.11,-27.51,0.32,0.08,19.14,1.37,-0.97,-242.11
