ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,2.42,***,***,***,***,***,***,***,***,***,0.51,-1.92,-79.13,0.63,-1.79,-73.97,***,***,***,0.48,-1.95,-80.37,0.26,-2.16,-89.26,0.27,-2.15,-88.95,0.17,-2.26,-93.18,0.16,-2.26,-93.39,0.24,-2.18,-89.98
B:FBOGR1T02:02,0.12,0.06,-0.06,-51.02,0.16,0.04,28.57,***,***,***,0.11,-0.02,-12.24,0.13,0.01,4.08,0.18,0.05,42.86,***,***,***,0.00,-0.12,-100.00,0.06,-0.07,-55.10,0.08,-0.04,-32.65,***,***,***,***,***,***
B:FBOGR1T02:03,0.16,0.04,-0.12,-73.02,0.17,0.02,9.52,***,***,***,0.12,-0.04,-26.98,0.07,-0.09,-55.56,0.22,0.06,38.10,***,***,***,0.01,-0.15,-96.83,0.06,-0.10,-60.32,0.09,-0.07,-44.44,***,***,***,***,***,***
B:FBOGR1T02:04,0.16,0.13,-0.03,-17.74,0.22,0.06,38.71,***,***,***,0.03,-0.13,-80.65,0.13,-0.03,-16.13,0.49,0.34,216.13,***,***,***,0.03,-0.13,-83.87,0.04,-0.12,-74.19,0.05,-0.11,-69.35,***,***,***,***,***,***
B:FBOGR1T02:05,0.21,***,***,***,0.14,-0.07,-34.15,0.06,-0.15,-70.73,***,***,***,0.08,-0.13,-63.41,***,***,***,0.03,-0.18,-86.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,0.11,***,***,***,0.11,0.00,0.00,0.04,-0.07,-63.64,***,***,***,0.14,0.03,22.73,***,***,***,0.04,-0.07,-61.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,0.25,***,***,***,0.25,0.00,1.00,0.07,-0.19,-74.00,***,***,***,0.17,-0.09,-34.00,0.09,-0.16,-64.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,0.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,0.16,***,***,***,0.10,-0.06,-36.51,0.21,0.05,30.16,***,***,***,0.14,-0.02,-12.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.33,0.08,0.26,77.02,0.16,0.17,51.08,0.09,0.24,72.28,0.19,0.14,43.24,0.18,0.15,44.93,0.24,0.09,27.13,0.18,0.15,45.55,0.07,0.26,78.27,0.11,0.23,68.16,0.10,0.24,71.34,0.16,0.17,52.05,0.24,0.09,27.32
