ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,12.08,***,***,***,***,***,***,***,***,***,2.52,-9.56,-79.13,3.14,-8.93,-73.97,***,***,***,2.37,-9.71,-80.37,1.30,-10.78,-89.26,1.34,-10.74,-88.95,0.82,-11.26,-93.18,0.80,-11.28,-93.39,1.21,-10.87,-89.98
B:FBOGR1T02:02,0.61,0.30,-0.31,-51.02,0.79,0.17,28.57,***,***,***,0.54,-0.07,-12.24,0.64,0.02,4.08,0.87,0.26,42.86,***,***,***,0.00,-0.61,-100.00,0.27,-0.34,-55.10,0.41,-0.20,-32.65,***,***,***,***,***,***
B:FBOGR1T02:03,0.79,0.21,-0.57,-73.02,0.86,0.07,9.52,***,***,***,0.57,-0.21,-26.98,0.35,-0.44,-55.56,1.09,0.30,38.10,***,***,***,0.02,-0.76,-96.83,0.31,-0.47,-60.32,0.44,-0.35,-44.44,***,***,***,***,***,***
B:FBOGR1T02:04,0.77,0.64,-0.14,-17.74,1.07,0.30,38.71,***,***,***,0.15,-0.62,-80.65,0.65,-0.12,-16.13,2.45,1.67,216.13,***,***,***,0.12,-0.65,-83.87,0.20,-0.57,-74.19,0.24,-0.54,-69.35,***,***,***,***,***,***
B:FBOGR1T02:05,1.02,***,***,***,0.67,-0.35,-34.15,0.30,-0.72,-70.73,***,***,***,0.37,-0.65,-63.41,***,***,***,0.14,-0.89,-86.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,0.55,***,***,***,0.55,0.00,0.00,0.20,-0.35,-63.64,***,***,***,0.67,0.12,22.73,***,***,***,0.21,-0.34,-61.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,1.25,***,***,***,1.26,0.01,1.00,0.32,-0.92,-74.00,***,***,***,0.82,-0.42,-34.00,0.45,-0.80,-64.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,1.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,0.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,0.79,***,***,***,0.50,-0.29,-36.51,1.02,0.24,30.16,***,***,***,0.69,-0.10,-12.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.67,0.38,1.28,77.02,0.81,0.85,51.08,0.46,1.20,72.28,0.95,0.72,43.24,0.92,0.75,44.93,1.21,0.45,27.13,0.91,0.76,45.55,0.36,1.30,78.27,0.53,1.14,68.16,0.48,1.19,71.34,0.80,0.87,52.05,1.21,0.45,27.32
