ProjectUnit = FBOGR1T02
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FBOGR1T02:01,16.25,***,***,***,***,***,***,***,***,***,4.18,-12.07,-74.30,4.79,-11.45,-70.50,***,***,***,4.77,-11.48,-70.66,1.84,-14.41,-88.68,1.96,-14.29,-87.92,3.34,-12.91,-79.47,2.58,-13.66,-84.10,4.08,-12.17,-74.90
B:FBOGR1T02:02,1.22,0.32,-0.90,-74.15,0.79,-0.43,-35.25,***,***,***,0.69,-0.53,-43.56,1.01,-0.21,-17.25,0.89,-0.33,-27.44,0.00,-1.22,-100.00,0.00,-1.22,-100.00,0.50,-0.72,-59.09,1.12,-0.10,-8.01,***,***,***,***,***,***
B:FBOGR1T02:03,1.04,0.23,-0.81,-77.78,1.06,0.02,1.95,***,***,***,0.57,-0.47,-45.03,0.42,-0.62,-59.31,1.09,0.04,3.96,***,***,***,0.13,-0.92,-87.67,0.39,-0.66,-62.96,0.51,-0.53,-51.01,***,***,***,***,***,***
B:FBOGR1T02:04,1.19,0.98,-0.21,-18.00,1.15,-0.04,-3.15,***,***,***,0.23,-0.96,-80.37,0.85,-0.34,-28.39,2.45,1.26,106.08,***,***,***,0.12,-1.07,-89.52,0.30,-0.89,-74.85,0.24,-0.95,-80.09,***,***,***,***,***,***
B:FBOGR1T02:05,1.02,***,***,***,0.88,-0.14,-13.57,0.32,-0.71,-69.18,***,***,***,0.54,-0.48,-47.23,***,***,***,0.14,-0.89,-86.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:06,1.39,***,***,***,0.85,-0.53,-38.39,0.26,-1.12,-81.02,***,***,***,0.67,-0.71,-51.41,***,***,***,0.21,-1.17,-84.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:07,1.78,***,***,***,3.26,1.48,83.41,1.39,-0.38,-21.64,***,***,***,2.37,0.59,33.20,1.26,-0.52,-29.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:08,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:11,0.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:12,4.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:13,1.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:14,0.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FBOGR1T02:30,2.19,***,***,***,3.68,1.49,68.13,3.65,1.46,66.70,***,***,***,2.13,-0.06,-2.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.65,0.51,2.14,80.81,1.67,0.98,36.89,1.41,1.24,46.89,1.42,1.23,46.41,1.60,1.05,39.56,1.42,1.23,46.31,1.28,1.37,51.66,0.52,2.12,80.22,0.79,1.86,70.25,1.30,1.34,50.80,2.58,0.06,2.33,4.08,-1.43,-54.14
