ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.15,0.08,-0.08,-49.99,0.00,-0.15,-100.00,0.00,-0.15,-100.00,0.00,-0.15,-100.00,***,***,***,0.00,-0.15,-100.00,***,***,***,***,***,***,0.00,-0.15,-100.00,0.08,-0.08,-50.02,0.00,-0.15,-100.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,0.76,0.38,-0.38,-50.00,***,***,***,0.38,-0.38,-50.00,0.15,-0.61,-80.00,***,***,***,1.06,0.30,40.02,***,***,***,***,***,***,1.14,0.38,50.00,0.30,-0.46,-59.99,0.61,-0.15,-19.99,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.76,0.76,0.00,0.24,0.92,0.16,20.36,0.38,-0.38,-49.91,0.46,-0.30,-39.94,***,***,***,0.91,0.15,19.65,***,***,***,***,***,***,1.06,0.30,39.59,0.76,0.00,-0.29,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,0.38,0.23,-0.15,-40.00,***,***,***,1.07,0.68,179.95,0.61,0.23,59.96,***,***,***,0.15,-0.23,-60.02,***,***,***,***,***,***,0.61,0.23,59.96,0.84,0.46,119.93,0.23,-0.15,-40.02,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,0.30,***,***,***,***,***,0.68,***,***,***,***,***,0.38,***,***,0.46,***,***,***,***,***,0.99,***,***,1.22,***,***,0.76,***,***,0.61,***,***,0.38,***,***,***,***,***,0.30,***,***
B:FJUMO1T06:02,***,2.28,***,***,***,***,***,0.46,***,***,***,***,***,0.30,***,***,0.23,***,***,***,***,***,0.15,***,***,0.23,***,***,0.23,***,***,0.30,***,***,0.30,***,***,***,***,***,0.23,***,***
B:FJUMO1T06:03,***,0.23,***,***,***,***,***,1.67,***,***,***,***,***,0.23,***,***,***,***,***,***,***,***,0.30,***,***,0.38,***,***,0.00,***,***,0.00,***,***,0.46,***,***,0.38,***,***,***,***,***
B:FJUMO1T06:04,***,0.08,***,***,***,***,***,0.30,***,***,0.00,***,***,***,***,***,0.15,***,***,***,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,0.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.15,***,***,0.00,***,***,0.53,***,***,***,***,***,0.23,***,***,0.38,***,***,***,***,***,0.00,***,***,***,***,***,0.08,***,***,0.15,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:11,***,0.23,***,***,0.38,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.08,***,***,0.08,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:12,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.08,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,0.53,***,***,0.68,***,***,0.30,***,***,***,***,***,0.23,***,***,0.38,***,***,0.15,***,***,***,***,***,0.23,***,***,0.61,***,***,0.38,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:15,***,0.08,***,***,1.06,***,***,0.38,***,***,***,***,***,0.08,***,***,0.61,***,***,0.23,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:16,***,0.30,***,***,0.08,***,***,0.15,***,***,***,***,***,0.08,***,***,0.08,***,***,0.15,***,***,0.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
