ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.86,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,4.33,4.04,-0.29,-6.70,***,***,***,2.52,-1.81,-41.90,5.04,0.70,16.27,***,***,***,2.95,-1.38,-31.81,***,***,***,***,***,***,0.00,-4.33,-100.00,0.00,-4.33,-100.00,0.00,-4.33,-100.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,0.95,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.40,***,***,0.00,***,***,13.09,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:02,***,0.51,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:03,***,2.43,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***
B:FJUMO1T06:04,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,5.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:11,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:12,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:15,***,0.40,***,***,0.40,***,***,0.42,***,***,***,***,***,0.00,***,***,0.00,***,***,0.21,***,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:16,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:17,***,0.00,***,***,1.32,***,***,0.00,***,***,***,***,***,0.99,***,***,0.00,***,***,0.63,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:19,***,0.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:20,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_21,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
