ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.73,0.81,0.08,11.01,0.47,-0.26,-35.19,0.47,-0.26,-35.21,0.00,-0.73,-100.00,***,***,***,2.46,1.74,238.35,***,***,***,***,***,***,0.84,0.11,15.15,0.70,-0.02,-3.24,0.00,-0.73,-100.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,4.90,4.90,***,***,***,***,***,***,***,1.33,1.33,***,0.37,0.37,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.00,0.45,0.45,***,0.66,0.66,***,0.37,0.37,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.47,0.47,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,1.87,1.62,-0.26,-13.79,***,***,***,3.58,1.71,91.03,0.00,-1.87,-100.00,***,***,***,3.36,1.48,79.08,***,***,***,***,***,***,0.70,-1.17,-62.38,0.00,-1.87,-100.00,0.00,-1.87,-100.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,1.96,***,***,***,***,***,3.29,***,***,***,***,***,1.77,***,***,1.86,***,***,***,***,***,1.98,***,***,1.12,***,***,0.00,***,***,8.25,***,***,0.58,***,***,***,***,***,1.60,***,***
B:FJUMO1T06:02,***,0.00,***,***,***,***,***,0.29,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:03,***,0.00,***,***,***,***,***,0.37,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,1.61,***,***,0.39,***,***,1.17,***,***,1.42,***,***,0.37,***,***,3.24,***,***,***,***,***
B:FJUMO1T06:04,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,1.31,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.21,***,***
B:FJUMO1T06:11,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FJUMO1T06:12,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:15,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.54,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:16,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:17,***,1.42,***,***,0.00,***,***,1.50,***,***,***,***,***,3.30,***,***,4.95,***,***,2.53,***,***,3.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:19,***,0.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:20,***,5.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_21,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.65,0.65,0.00,-0.65,0.13,0.52,80.72,0.66,-0.01,-1.18,0.00,0.65,100.00,0.51,0.14,22.00,1.38,-0.73,-112.82,0.51,0.14,22.22,0.76,-0.11,-16.66,0.54,0.11,17.01,0.20,0.45,68.66,0.97,-0.32,-48.62,0.19,0.46,70.63,3.24,-2.59,-397.59,0.45,0.20,30.60
