ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.01,0.01,-0.01,-60.00,0.03,0.02,140.00,0.01,-0.01,-60.00,0.00,-0.01,-100.00,***,***,***,0.01,-0.01,-40.00,***,***,***,***,***,***,0.01,0.00,-20.00,0.04,0.03,220.00,0.03,0.02,160.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,0.36,0.27,-0.09,-25.17,***,***,***,0.04,-0.32,-90.21,0.06,-0.30,-84.62,***,***,***,0.09,-0.27,-74.13,***,***,***,***,***,***,0.23,-0.13,-36.36,0.18,-0.18,-50.35,0.21,-0.15,-41.96,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.09,0.00,-0.09,-100.00,0.03,-0.06,-62.86,0.02,-0.07,-82.86,0.00,-0.09,-100.00,***,***,***,0.08,-0.01,-14.29,***,***,***,***,***,***,0.01,-0.08,-85.71,0.14,0.05,57.14,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,0.15,0.52,0.37,256.90,***,***,***,0.03,-0.11,-77.59,0.03,-0.11,-77.59,***,***,***,0.06,-0.09,-62.07,***,***,***,***,***,***,0.00,-0.15,-100.00,0.05,-0.09,-63.79,0.01,-0.14,-93.10,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,0.21,***,***,***,***,***,0.75,***,***,***,***,***,0.19,***,***,0.03,***,***,***,***,***,0.22,***,***,0.03,***,***,0.02,***,***,0.46,***,***,0.06,***,***,***,***,***,0.34,***,***
B:FJUMO1T06:02,***,0.10,***,***,***,***,***,0.84,***,***,***,***,***,0.04,***,***,0.03,***,***,***,***,***,0.02,***,***,0.02,***,***,0.03,***,***,0.10,***,***,0.04,***,***,***,***,***,0.09,***,***
B:FJUMO1T06:03,***,0.10,***,***,***,***,***,1.11,***,***,***,***,***,0.06,***,***,***,***,***,***,***,***,0.07,***,***,0.03,***,***,0.02,***,***,0.03,***,***,0.02,***,***,0.09,***,***,***,***,***
B:FJUMO1T06:04,***,0.04,***,***,***,***,***,0.02,***,***,0.00,***,***,***,***,***,0.10,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.03,***,***,0.02,***,***,0.00,***,***,***,***,***,0.01,***,***,0.02,***,***,***,***,***,0.01,***,***,***,***,***,0.02,***,***,0.01,***,***,0.00,***,***,***,***,***,0.00,***,***
