ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.12,0.05,-0.07,-60.00,0.30,0.17,140.00,0.05,-0.07,-60.00,0.00,-0.12,-100.00,***,***,***,0.07,-0.05,-40.00,***,***,***,***,***,***,0.10,-0.02,-20.00,0.40,0.27,220.00,0.32,0.20,160.00,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,3.57,2.67,-0.90,-25.17,***,***,***,0.35,-3.22,-90.21,0.55,-3.02,-84.62,***,***,***,0.92,-2.65,-74.13,***,***,***,***,***,***,2.27,-1.30,-36.36,1.77,-1.80,-50.35,2.07,-1.50,-41.96,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.87,0.00,-0.87,-100.00,0.32,-0.55,-62.86,0.15,-0.72,-82.86,0.00,-0.87,-100.00,***,***,***,0.75,-0.12,-14.29,***,***,***,***,***,***,0.12,-0.75,-85.71,1.37,0.50,57.14,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,1.45,5.17,3.72,256.90,***,***,***,0.32,-1.12,-77.59,0.32,-1.12,-77.59,***,***,***,0.55,-0.90,-62.07,***,***,***,***,***,***,0.00,-1.45,-100.00,0.52,-0.92,-63.79,0.10,-1.35,-93.10,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,2.12,***,***,***,***,***,7.49,***,***,***,***,***,1.87,***,***,0.30,***,***,***,***,***,2.20,***,***,0.32,***,***,0.15,***,***,4.57,***,***,0.57,***,***,***,***,***,3.37,***,***
B:FJUMO1T06:02,***,1.02,***,***,***,***,***,8.41,***,***,***,***,***,0.37,***,***,0.32,***,***,***,***,***,0.17,***,***,0.15,***,***,0.32,***,***,1.00,***,***,0.37,***,***,***,***,***,0.87,***,***
B:FJUMO1T06:03,***,1.02,***,***,***,***,***,11.08,***,***,***,***,***,0.60,***,***,***,***,***,***,***,***,0.67,***,***,0.25,***,***,0.17,***,***,0.32,***,***,0.22,***,***,0.90,***,***,***,***,***
B:FJUMO1T06:04,***,0.40,***,***,***,***,***,0.17,***,***,0.00,***,***,***,***,***,0.97,***,***,***,***,***,0.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,0.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.32,***,***,0.22,***,***,0.02,***,***,***,***,***,0.10,***,***,0.20,***,***,***,***,***,0.10,***,***,***,***,***,0.17,***,***,0.12,***,***,0.00,***,***,***,***,***,0.00,***,***
