ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,0.23,0.13,-0.10,-42.39,0.09,-0.14,-61.96,0.11,-0.12,-51.09,0.08,-0.15,-65.22,***,***,***,0.18,-0.05,-22.83,***,***,***,***,***,***,0.09,-0.15,-63.04,0.05,-0.18,-78.26,0.11,-0.12,-52.17,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,0.57,0.60,0.03,5.24,***,***,***,0.36,-0.21,-37.12,0.21,-0.36,-63.32,***,***,***,0.39,-0.18,-31.44,***,***,***,***,***,***,0.31,-0.27,-46.29,0.24,-0.34,-58.95,0.33,-0.25,-43.23,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.16,0.26,0.11,67.74,0.20,0.05,30.65,0.15,-0.01,-6.45,0.09,-0.07,-45.16,***,***,***,0.17,0.01,8.06,***,***,***,***,***,***,0.24,0.09,54.84,0.16,0.01,3.23,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,0.62,0.76,0.15,23.58,***,***,***,0.26,-0.36,-58.13,0.15,-0.47,-76.42,***,***,***,0.19,-0.43,-69.51,***,***,***,***,***,***,0.11,-0.50,-81.71,0.10,-0.51,-83.33,0.08,-0.53,-86.59,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,0.46,***,***,***,***,***,0.89,***,***,***,***,***,0.40,***,***,0.39,***,***,***,***,***,0.57,***,***,0.42,***,***,0.40,***,***,0.44,***,***,0.28,***,***,***,***,***,0.37,***,***
B:FJUMO1T06:02,***,0.20,***,***,***,***,***,0.35,***,***,***,***,***,0.24,***,***,0.11,***,***,***,***,***,0.11,***,***,0.16,***,***,0.11,***,***,0.14,***,***,0.18,***,***,***,***,***,0.19,***,***
B:FJUMO1T06:03,***,0.42,***,***,***,***,***,0.80,***,***,***,***,***,0.43,***,***,***,***,***,***,***,***,0.47,***,***,0.23,***,***,0.14,***,***,0.19,***,***,0.18,***,***,0.17,***,***,***,***,***
B:FJUMO1T06:04,***,0.25,***,***,***,***,***,0.18,***,***,0.04,***,***,***,***,***,0.26,***,***,***,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,0.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,0.32,***,***,0.18,***,***,0.11,***,***,***,***,***,0.08,***,***,0.15,***,***,***,***,***,0.10,***,***,***,***,***,0.08,***,***,0.19,***,***,0.06,***,***,***,***,***,0.02,***,***
B:FJUMO1T06:11,***,0.24,***,***,0.31,***,***,0.01,***,***,***,***,***,0.11,***,***,0.13,***,***,***,***,***,0.11,***,***,***,***,***,0.08,***,***,0.31,***,***,0.04,***,***,***,***,***,0.03,***,***
B:FJUMO1T06:12,***,0.36,***,***,0.31,***,***,0.52,***,***,***,***,***,0.22,***,***,0.44,***,***,0.53,***,***,***,***,***,0.13,***,***,0.15,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,0.34,***,***,0.20,***,***,0.38,***,***,***,***,***,0.46,***,***,0.24,***,***,0.67,***,***,***,***,***,0.31,***,***,0.25,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***
