ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,1.15,0.66,-0.49,-42.39,0.44,-0.71,-61.96,0.56,-0.59,-51.09,0.40,-0.75,-65.22,***,***,***,0.89,-0.26,-22.83,***,***,***,***,***,***,0.42,-0.72,-63.04,0.25,-0.90,-78.26,0.55,-0.60,-52.17,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,2.86,3.01,0.15,5.24,***,***,***,1.80,-1.06,-37.12,1.05,-1.81,-63.32,***,***,***,1.96,-0.90,-31.44,***,***,***,***,***,***,1.53,-1.32,-46.29,1.17,-1.68,-58.95,1.62,-1.24,-43.23,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,0.77,1.30,0.52,67.74,1.01,0.24,30.65,0.72,-0.05,-6.45,0.42,-0.35,-45.16,***,***,***,0.84,0.06,8.06,***,***,***,***,***,***,1.20,0.42,54.84,0.80,0.02,3.23,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,3.07,3.79,0.72,23.58,***,***,***,1.29,-1.78,-58.13,0.72,-2.35,-76.42,***,***,***,0.94,-2.13,-69.51,***,***,***,***,***,***,0.56,-2.51,-81.71,0.51,-2.56,-83.33,0.41,-2.66,-86.59,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,2.27,***,***,***,***,***,4.43,***,***,***,***,***,1.97,***,***,1.92,***,***,***,***,***,2.86,***,***,2.07,***,***,1.97,***,***,2.20,***,***,1.39,***,***,***,***,***,1.82,***,***
B:FJUMO1T06:02,***,1.01,***,***,***,***,***,1.72,***,***,***,***,***,1.19,***,***,0.56,***,***,***,***,***,0.52,***,***,0.77,***,***,0.54,***,***,0.71,***,***,0.90,***,***,***,***,***,0.92,***,***
B:FJUMO1T06:03,***,2.10,***,***,***,***,***,3.99,***,***,***,***,***,2.12,***,***,***,***,***,***,***,***,2.35,***,***,1.12,***,***,0.70,***,***,0.96,***,***,0.90,***,***,0.85,***,***,***,***,***
B:FJUMO1T06:04,***,1.22,***,***,***,***,***,0.89,***,***,0.19,***,***,***,***,***,1.30,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,1.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,1.60,***,***,0.89,***,***,0.56,***,***,***,***,***,0.40,***,***,0.72,***,***,***,***,***,0.50,***,***,***,***,***,0.40,***,***,0.95,***,***,0.29,***,***,***,***,***,0.07,***,***
B:FJUMO1T06:11,***,1.17,***,***,1.55,***,***,0.06,***,***,***,***,***,0.56,***,***,0.66,***,***,***,***,***,0.56,***,***,***,***,***,0.41,***,***,1.52,***,***,0.17,***,***,***,***,***,0.14,***,***
B:FJUMO1T06:12,***,1.78,***,***,1.55,***,***,2.57,***,***,***,***,***,1.11,***,***,2.21,***,***,2.66,***,***,***,***,***,0.66,***,***,0.76,***,***,1.04,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,1.68,***,***,1.01,***,***,1.87,***,***,***,***,***,2.28,***,***,1.17,***,***,3.34,***,***,***,***,***,1.56,***,***,1.25,***,***,1.06,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:15,***,0.85,***,***,1.52,***,***,1.85,***,***,***,***,***,1.06,***,***,0.87,***,***,3.81,***,***,0.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:16,***,1.77,***,***,1.20,***,***,1.07,***,***,***,***,***,1.20,***,***,1.66,***,***,1.81,***,***,0.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:17,***,1.16,***,***,1.55,***,***,1.75,***,***,***,***,***,1.20,***,***,3.46,***,***,2.21,***,***,1.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:19,***,0.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:20,***,0.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FJUMO1T06_21,***,1.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.96,1.50,0.46,23.59,1.19,0.77,39.37,1.68,0.29,14.62,0.56,1.41,71.64,1.31,0.65,33.29,1.37,0.59,30.27,2.77,-0.80,-40.92,1.09,0.87,44.25,1.10,0.86,43.90,0.80,1.17,59.42,1.10,0.86,43.85,0.73,1.23,62.86,0.85,1.11,56.76,0.74,1.22,62.32
