ProjectUnit = FJUMO1T06
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00PR01-Attr,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff
B:FJUMO1T06:06,2.19,1.60,-0.59,-26.92,1.22,-0.96,-44.08,1.10,-1.09,-49.61,0.65,-1.54,-70.23,***,***,***,3.44,1.25,57.16,***,***,***,***,***,***,1.38,-0.81,-37.03,1.46,-0.73,-33.43,1.74,-0.45,-20.45,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:07,7.33,6.16,-1.17,-15.99,***,***,***,2.67,-4.67,-63.65,1.84,-5.49,-74.90,***,***,***,9.69,2.35,32.08,***,***,***,***,***,***,6.74,-0.59,-8.11,3.76,-3.57,-48.72,4.66,-2.67,-36.41,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:08,2.60,2.64,0.04,1.36,3.02,0.41,15.84,1.70,-0.91,-34.75,0.99,-1.62,-62.15,***,***,***,2.72,0.12,4.56,***,***,***,***,***,***,3.00,0.39,15.08,3.11,0.50,19.25,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:14,12.01,16.06,4.04,33.66,***,***,***,10.03,-1.99,-16.52,7.35,-4.66,-38.82,***,***,***,8.88,-3.13,-26.08,***,***,***,***,***,***,1.89,-10.12,-84.26,1.90,-10.12,-84.21,0.76,-11.25,-93.64,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:01,***,8.62,***,***,***,***,***,16.55,***,***,***,***,***,6.45,***,***,5.07,***,***,***,***,***,9.54,***,***,5.35,***,***,16.37,***,***,16.13,***,***,3.28,***,***,***,***,***,7.97,***,***
B:FJUMO1T06:02,***,7.64,***,***,***,***,***,12.08,***,***,***,***,***,2.54,***,***,2.08,***,***,***,***,***,1.79,***,***,2.40,***,***,1.41,***,***,2.70,***,***,2.21,***,***,***,***,***,2.66,***,***
B:FJUMO1T06:03,***,6.51,***,***,***,***,***,18.40,***,***,***,***,***,3.06,***,***,***,***,***,***,***,***,4.97,***,***,2.52,***,***,2.71,***,***,2.82,***,***,2.27,***,***,7.30,***,***,***,***,***
B:FJUMO1T06:04,***,1.73,***,***,***,***,***,1.83,***,***,0.49,***,***,***,***,***,3.75,***,***,***,***,***,0.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:09,***,8.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:10,***,2.20,***,***,2.07,***,***,1.16,***,***,***,***,***,3.16,***,***,2.10,***,***,***,***,***,0.68,***,***,***,***,***,0.71,***,***,1.26,***,***,0.32,***,***,***,***,***,0.33,***,***
B:FJUMO1T06:11,***,2.51,***,***,2.79,***,***,0.16,***,***,***,***,***,0.69,***,***,0.68,***,***,***,***,***,0.59,***,***,***,***,***,0.81,***,***,2.00,***,***,0.21,***,***,***,***,***,0.25,***,***
B:FJUMO1T06:12,***,2.92,***,***,1.77,***,***,3.02,***,***,***,***,***,1.37,***,***,5.00,***,***,2.69,***,***,***,***,***,0.97,***,***,1.45,***,***,1.77,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:13,***,3.42,***,***,2.28,***,***,3.50,***,***,***,***,***,4.55,***,***,2.97,***,***,4.36,***,***,***,***,***,4.64,***,***,4.65,***,***,2.96,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:15,***,1.84,***,***,3.39,***,***,3.54,***,***,***,***,***,1.61,***,***,3.13,***,***,4.85,***,***,2.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:16,***,2.54,***,***,1.63,***,***,1.23,***,***,***,***,***,1.61,***,***,1.81,***,***,3.44,***,***,2.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FJUMO1T06:17,***,3.55,***,***,3.49,***,***,4.41,***,***,***,***,***,7.76,***,***,11.86,***,***,5.79,***,***,5.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
