ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,0.08,***,***,***,0.00,-0.08,-95.00,***,***,***,0.02,-0.06,-70.00,0.01,-0.07,-85.00,***,***,***,0.02,-0.06,-80.00,0.01,-0.07,-85.00,0.00,-0.08,-95.00,0.01,-0.07,-90.00,0.07,-0.01,-15.00,***,***,***,0.12,0.04,45.00,***,***,***
B:FPIPO1T02:02,0.05,***,***,***,0.02,-0.03,-64.00,***,***,***,0.06,0.01,25.36,0.13,0.08,182.87,***,***,***,0.09,0.04,90.79,0.04,-0.01,-17.82,0.08,0.03,65.94,0.10,0.06,121.68,0.13,0.08,186.27,***,***,***,0.03,-0.02,-34.44,***,***,***
B:FPIPO1T02:03,0.05,***,***,***,0.02,-0.03,-66.69,***,***,***,0.01,-0.04,-83.28,***,***,***,***,***,***,0.01,-0.04,-83.40,0.04,0.00,-8.70,0.08,0.03,57.93,0.07,0.02,41.09,0.13,0.08,165.72,0.02,-0.03,-58.50,***,***,***,***,***,***
B:FPIPO1T02:04,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.03,-100.00,0.00,-0.03,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,0.03,0.00,0.00
B:FPIPO1T02:05,0.02,0.01,-0.01,-50.00,0.02,0.00,0.00,***,***,***,0.02,0.00,0.00,0.05,0.04,225.01,0.04,0.02,125.00,***,***,***,0.05,0.03,200.01,0.01,-0.01,-50.00,0.00,-0.01,-75.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,0.00,0.00,0.00,0.18,0.01,0.00,100.00,0.01,0.00,100.00,***,***,***,0.08,0.08,1900.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,0.02,500.72,***,***,***,***,***,***
B:FPIPO1T02:07,0.00,***,***,***,0.07,0.07,***,0.00,0.00,0.00,***,***,***,0.02,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,0.01,0.00,-0.01,-100.00,0.01,0.00,50.00,0.02,0.01,100.00,***,***,***,0.03,0.02,250.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,0.01,100.04,***,***,***,***,***,***
B:FPIPO1T02:11,0.04,0.00,-0.04,-100.00,0.01,-0.03,-77.79,***,***,***,0.05,0.02,44.38,0.02,-0.02,-55.50,***,***,***,0.05,0.02,44.37,***,***,***,0.02,-0.01,-33.37,0.04,0.00,0.00,0.00,-0.03,-88.89,***,***,***,0.07,0.03,88.94,***,***,***
B:FPIPO1T02:12,0.00,0.00,0.00,0.00,0.06,0.06,1400.04,***,***,***,0.03,0.03,700.01,0.01,0.01,200.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:13,0.09,0.04,-0.06,-60.87,0.06,-0.04,-39.13,***,***,***,0.13,0.04,43.48,0.02,-0.08,-82.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:14,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:15,0.08,0.08,0.00,0.00,0.02,-0.06,-73.68,***,***,***,0.02,-0.05,-68.42,0.03,-0.05,-63.16,0.04,-0.03,-42.10,***,***,***,0.06,-0.01,-15.79,0.03,-0.05,-63.16,0.04,-0.04,-47.37,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:16,0.02,0.02,0.00,0.49,0.01,-0.02,-66.43,***,***,***,0.02,0.00,-16.43,0.06,0.04,150.60,0.02,-0.01,-33.22,***,***,***,0.06,0.04,166.69,0.01,-0.02,-66.43,0.01,-0.02,-66.43,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:17,0.02,0.01,0.00,-25.00,0.03,0.02,100.00,***,***,***,0.00,-0.02,-100.00,0.07,0.06,350.52,0.03,0.02,100.39,***,***,***,0.06,0.04,250.39,0.00,-0.01,-74.87,0.05,0.03,200.65,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:18,0.02,0.01,-0.01,-49.99,0.01,-0.01,-50.00,***,***,***,0.00,-0.02,-100.00,0.02,-0.01,-33.33,0.02,-0.01,-33.32,***,***,***,0.01,-0.01,-50.00,0.01,-0.02,-66.67,0.02,0.00,-16.64,***,***,***,***,***,***,***,***,***,***,***,***
