ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***
B:FPIPO1T02:02,1.58,***,***,***,0.00,-1.58,-100.00,***,***,***,0.00,-1.58,-100.00,0.00,-1.58,-100.00,***,***,***,0.00,-1.58,-100.00,0.00,-1.58,-100.00,0.00,-1.58,-100.00,0.00,-1.58,-100.00,0.00,-1.58,-100.00,***,***,***,0.00,-1.58,-100.00,***,***,***
B:FPIPO1T02:03,4.47,***,***,***,0.00,-4.47,-100.00,***,***,***,0.00,-4.47,-100.00,***,***,***,***,***,***,0.00,-4.47,-100.00,0.00,-4.47,-100.00,0.00,-4.47,-100.00,1.08,-3.38,-75.74,1.51,-2.96,-66.20,1.75,-2.72,-60.82,***,***,***,***,***,***
B:FPIPO1T02:04,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,3.90,3.90,***
B:FPIPO1T02:05,3.28,0.24,-3.04,-92.71,0.00,-3.28,-100.00,***,***,***,0.00,-3.28,-100.00,0.00,-3.28,-100.00,0.00,-3.28,-100.00,***,***,***,0.00,-3.28,-100.00,0.00,-3.28,-100.00,0.00,-3.28,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,2.56,0.00,-2.56,-100.00,0.00,-2.56,-100.00,0.63,-1.93,-75.41,***,***,***,0.00,-2.56,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.50,-1.06,-41.43,***,***,***,***,***,***
B:FPIPO1T02:07,0.74,***,***,***,0.00,-0.74,-100.00,0.00,-0.74,-100.00,***,***,***,0.00,-0.74,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,***,***,***,***,0.35,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***
B:FPIPO1T02:11,6.54,0.00,-6.54,-100.00,0.00,-6.54,-100.00,***,***,***,0.00,-6.54,-100.00,0.00,-6.54,-100.00,***,***,***,0.00,-6.54,-100.00,***,***,***,0.21,-6.33,-96.73,0.35,-6.19,-94.59,0.00,-6.54,-100.00,***,***,***,0.00,-6.54,-100.00,***,***,***
B:FPIPO1T02:12,0.63,0.00,-0.63,-100.00,0.00,-0.63,-100.00,***,***,***,0.00,-0.63,-100.00,0.00,-0.63,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:13,0.88,0.44,-0.45,-50.50,0.00,-0.88,-100.00,***,***,***,0.87,-0.01,-1.60,0.67,-0.21,-23.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:14,0.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:15,0.47,0.00,-0.47,-100.00,0.00,-0.47,-100.00,***,***,***,0.00,-0.47,-100.00,0.00,-0.47,-100.00,0.00,-0.47,-100.00,***,***,***,0.00,-0.47,-100.00,0.00,-0.47,-100.00,0.00,-0.47,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:17,2.01,0.00,-2.01,-100.00,0.00,-2.01,-100.00,***,***,***,0.00,-2.01,-100.00,0.00,-2.01,-100.00,0.00,-2.01,-100.00,***,***,***,0.00,-2.01,-100.00,0.00,-2.01,-100.00,0.86,-1.15,-57.42,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:18,1.30,0.00,-1.30,-100.00,0.00,-1.30,-100.00,***,***,***,0.00,-1.30,-100.00,0.00,-1.30,-100.00,0.00,-1.30,-100.00,***,***,***,0.00,-1.30,-100.00,0.00,-1.30,-100.00,0.00,-1.30,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:19,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
