ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***
B:FPIPO1T02:02,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,1.79,1.79,***,***,***,***
B:FPIPO1T02:03,3.88,***,***,***,1.61,-2.26,-58.36,***,***,***,2.25,-1.62,-41.88,***,***,***,***,***,***,2.29,-1.59,-40.88,4.56,0.68,17.58,4.72,0.84,21.78,3.18,-0.70,-17.93,0.88,-3.00,-77.23,1.34,-2.54,-65.38,***,***,***,***,***,***
B:FPIPO1T02:04,10.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.72,-1.54,-15.00,10.01,-0.25,-2.47,***,***,***,***,***,***,***,***,***,***,***,***,3.04,-7.23,-70.40
B:FPIPO1T02:05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.39,0.39,***,0.00,0.00,0.00,6.73,6.73,***,***,***,***,4.89,4.89,***,7.54,7.54,***,5.52,5.52,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,7.93,3.44,-4.50,-56.69,2.82,-5.11,-64.39,4.41,-3.52,-44.37,***,***,***,4.75,-3.18,-40.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.71,-3.22,-40.62,***,***,***,***,***,***
B:FPIPO1T02:07,0.00,***,***,***,0.61,0.61,***,0.49,0.49,***,***,***,***,0.76,0.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,0.24,0.00,-0.24,-100.00,0.29,0.05,19.63,1.19,0.96,400.78,***,***,***,0.47,0.23,97.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,-0.03,-12.09,***,***,***,***,***,***
B:FPIPO1T02:11,6.87,1.78,-5.09,-74.11,2.10,-4.77,-69.41,***,***,***,1.77,-5.10,-74.29,2.98,-3.89,-56.63,***,***,***,7.54,0.67,9.69,***,***,***,2.07,-4.80,-69.84,0.00,-6.87,-100.00,1.42,-5.45,-79.33,***,***,***,0.66,-6.21,-90.43,***,***,***
B:FPIPO1T02:12,0.00,0.70,0.70,***,0.89,0.89,***,***,***,***,1.08,1.08,***,0.98,0.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:13,0.47,0.29,-0.19,-39.53,0.61,0.13,28.39,***,***,***,7.86,7.39,1565.96,10.14,9.67,2050.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:14,0.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:15,0.81,0.22,-0.59,-72.39,0.77,-0.04,-5.39,***,***,***,0.24,-0.57,-70.58,0.49,-0.32,-38.95,0.29,-0.53,-64.81,***,***,***,0.00,-0.81,-100.00,0.00,-0.81,-100.00,0.00,-0.81,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:16,1.02,6.59,5.57,548.66,6.01,4.99,491.74,***,***,***,5.80,4.79,471.34,5.18,4.17,410.34,5.16,4.15,408.35,***,***,***,6.11,5.10,502.05,3.12,2.10,207.09,4.20,3.19,314.02,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:17,0.24,0.00,-0.24,-100.00,1.68,1.44,605.57,***,***,***,1.32,1.08,451.56,1.86,1.63,681.25,7.04,6.80,2849.22,***,***,***,2.99,2.76,1154.88,3.87,3.63,1521.09,2.17,1.94,811.27,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,***,***,***,***,0.21,0.21,***,0.00,0.00,0.00,0.21,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:19,0.00,***,***,***,1.83,1.83,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:20,0.00,***,***,***,0.90,0.90,***,0.90,0.90,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:21,4.59,***,***,***,1.68,-2.92,-63.49,1.24,-3.35,-72.98,***,***,***,0.00,-4.59,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:22,3.08,***,***,***,0.00,-3.08,-100.00,0.00,-3.08,-100.00,***,***,***,1.66,-1.41,-45.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:23,61.63,***,***,***,0.00,-61.63,-100.00,0.00,-61.63,-100.00,***,***,***,0.00,-61.63,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:24,0.96,0.21,-0.75,-78.03,0.21,-0.75,-78.03,0.45,-0.51,-53.03,***,***,***,0.49,-0.46,-48.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:25,0.22,0.22,0.00,0.00,0.00,-0.22,-100.00,0.22,0.00,0.00,***,***,***,0.00,-0.22,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:31,8.36,5.52,-2.84,-33.98,***,***,***,1.98,-6.38,-76.27,***,***,***,0.00,-8.36,-100.00,***,***,***,0.47,-7.89,-94.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:32,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:33,2.77,1.89,-0.88,-31.92,***,***,***,3.53,0.76,27.37,***,***,***,4.97,2.20,79.55,***,***,***,1.92,-0.85,-30.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:34,2.71,0.27,-2.44,-90.07,***,***,***,0.37,-2.34,-86.26,***,***,***,2.85,0.14,4.98,***,***,***,1.78,-0.94,-34.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:35,0.00,0.80,0.80,***,***,***,***,0.84,0.84,***,***,***,***,0.21,0.21,***,***,***,***,0.58,0.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:37,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***
B:FPIPO1T02:10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.21,***,***,***,***,***
Mean,3.66,1.10,2.57,70.08,0.92,2.75,74.97,0.87,2.79,76.29,1.88,1.78,48.62,1.35,2.31,63.13,3.88,-0.22,-6.04,1.33,2.34,63.81,3.06,0.61,16.59,2.61,1.05,28.71,1.39,2.27,62.04,0.38,3.28,89.52,2.09,1.58,43.01,0.53,3.13,85.51,3.04,0.62,17.05
