ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,0.68,***,***,***,0.03,-0.65,-96.30,***,***,***,0.10,-0.58,-85.56,0.26,-0.42,-62.22,***,***,***,0.29,-0.39,-57.41,0.01,-0.67,-98.52,0.16,-0.52,-77.04,0.31,-0.37,-54.07,0.26,-0.42,-61.85,***,***,***,0.36,-0.32,-47.33,***,***,***
B:FPIPO1T02:02,0.66,***,***,***,0.23,-0.43,-65.28,***,***,***,0.48,-0.18,-27.17,0.31,-0.36,-53.96,***,***,***,0.39,-0.27,-40.75,0.05,-0.62,-93.21,0.25,-0.42,-63.02,0.31,-0.36,-53.58,0.28,-0.38,-57.74,***,***,***,0.77,0.11,16.60,***,***,***
B:FPIPO1T02:03,0.26,***,***,***,0.31,0.05,17.31,***,***,***,0.11,-0.15,-57.69,***,***,***,***,***,***,0.05,-0.21,-81.73,0.17,-0.09,-35.58,0.03,-0.23,-87.50,0.14,-0.12,-47.12,0.12,-0.14,-53.85,0.08,-0.18,-68.27,***,***,***,***,***,***
B:FPIPO1T02:04,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.18,-98.65,0.14,-0.05,-25.68,***,***,***,***,***,***,***,***,***,***,***,***,0.11,-0.08,-41.89
B:FPIPO1T02:05,0.30,0.02,-0.28,-92.50,0.05,-0.25,-83.33,***,***,***,0.02,-0.28,-92.50,0.07,-0.23,-77.50,0.04,-0.27,-88.33,***,***,***,0.01,-0.29,-96.67,0.07,-0.23,-77.50,0.11,-0.19,-63.33,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,0.00,0.09,0.09,***,0.15,0.15,***,0.12,0.12,***,***,***,***,0.03,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.05,0.05,***,***,***,***,***,***,***
B:FPIPO1T02:07,0.00,***,***,***,0.01,0.01,***,0.00,0.00,0.00,***,***,***,0.04,0.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,0.00,0.02,0.02,***,0.11,0.11,***,0.07,0.07,***,***,***,***,0.04,0.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,0.10,***,***,***,***,***,***,***
B:FPIPO1T02:11,0.20,0.19,-0.01,-5.00,0.02,-0.18,-88.75,***,***,***,0.27,0.07,36.25,0.24,0.04,20.00,***,***,***,0.00,-0.20,-100.00,***,***,***,0.19,-0.01,-5.00,0.09,-0.11,-55.00,0.12,-0.09,-42.50,***,***,***,0.22,0.02,10.00,***,***,***
B:FPIPO1T02:12,0.38,0.21,-0.17,-45.39,0.13,-0.25,-65.13,***,***,***,0.30,-0.09,-22.37,0.33,-0.05,-13.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
