ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,6.74,***,***,***,0.25,-6.49,-96.30,***,***,***,0.97,-5.76,-85.56,2.55,-4.19,-62.22,***,***,***,2.87,-3.87,-57.41,0.10,-6.64,-98.52,1.55,-5.19,-77.04,3.09,-3.64,-54.07,2.57,-4.17,-61.85,***,***,***,3.55,-3.19,-47.33,***,***,***
B:FPIPO1T02:02,6.61,***,***,***,2.30,-4.32,-65.28,***,***,***,4.82,-1.80,-27.17,3.04,-3.57,-53.96,***,***,***,3.92,-2.70,-40.75,0.45,-6.16,-93.21,2.45,-4.17,-63.02,3.07,-3.54,-53.58,2.80,-3.82,-57.74,***,***,***,7.71,1.10,16.60,***,***,***
B:FPIPO1T02:03,2.60,***,***,***,3.04,0.45,17.31,***,***,***,1.10,-1.50,-57.69,***,***,***,***,***,***,0.47,-2.12,-81.73,1.67,-0.92,-35.58,0.32,-2.27,-87.50,1.37,-1.22,-47.12,1.20,-1.40,-53.85,0.82,-1.77,-68.27,***,***,***,***,***,***
B:FPIPO1T02:04,1.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-1.82,-98.65,1.37,-0.47,-25.68,***,***,***,***,***,***,***,***,***,***,***,***,1.07,-0.77,-41.89
B:FPIPO1T02:05,2.99,0.22,-2.77,-92.50,0.50,-2.50,-83.33,***,***,***,0.22,-2.77,-92.50,0.67,-2.32,-77.50,0.35,-2.65,-88.33,***,***,***,0.10,-2.89,-96.67,0.67,-2.32,-77.50,1.10,-1.90,-63.33,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,0.00,0.85,0.85,***,1.52,1.52,***,1.17,1.17,***,***,***,***,0.30,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.52,0.52,***,***,***,***,***,***,***
B:FPIPO1T02:07,0.00,***,***,***,0.05,0.05,***,0.00,0.00,0.00,***,***,***,0.42,0.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,0.00,0.15,0.15,***,1.12,1.12,***,0.67,0.67,***,***,***,***,0.37,0.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.02,1.02,***,***,***,***,***,***,***
B:FPIPO1T02:11,2.00,1.90,-0.10,-5.00,0.22,-1.77,-88.75,***,***,***,2.72,0.72,36.25,2.40,0.40,20.00,***,***,***,0.00,-2.00,-100.00,***,***,***,1.90,-0.10,-5.00,0.90,-1.10,-55.00,1.15,-0.85,-42.50,***,***,***,2.20,0.20,10.00,***,***,***
B:FPIPO1T02:12,3.79,2.07,-1.72,-45.39,1.32,-2.47,-65.13,***,***,***,2.94,-0.85,-22.37,3.29,-0.50,-13.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
