ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,1.34,***,***,***,0.52,-0.83,-61.57,***,***,***,0.63,-0.72,-53.36,1.14,-0.20,-14.93,***,***,***,0.96,-0.38,-28.17,0.28,-1.06,-79.10,0.24,-1.10,-82.28,0.55,-0.79,-58.77,0.68,-0.66,-49.07,***,***,***,0.73,-0.62,-45.90,***,***,***
B:FPIPO1T02:02,1.06,***,***,***,1.01,-0.05,-4.94,***,***,***,0.62,-0.45,-41.88,1.38,0.32,29.88,***,***,***,0.54,-0.52,-49.18,0.31,-0.75,-70.82,0.34,-0.73,-68.35,0.51,-0.55,-51.76,0.58,-0.48,-45.41,***,***,***,0.67,-0.40,-37.41,***,***,***
B:FPIPO1T02:03,0.72,***,***,***,0.63,-0.10,-13.49,***,***,***,0.43,-0.30,-40.83,***,***,***,***,***,***,0.47,-0.26,-35.29,0.68,-0.05,-6.23,0.43,-0.29,-40.14,0.36,-0.37,-50.52,0.47,-0.26,-35.29,0.42,-0.30,-41.87,***,***,***,***,***,***
B:FPIPO1T02:04,1.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,-0.94,-86.18,0.11,-0.98,-90.32,***,***,***,***,***,***,***,***,***,***,***,***,0.19,-0.90,-82.95
B:FPIPO1T02:05,0.82,0.38,-0.44,-53.99,0.44,-0.38,-46.63,***,***,***,0.28,-0.53,-65.34,0.52,-0.30,-36.50,0.42,-0.39,-48.16,***,***,***,0.13,-0.68,-83.74,0.12,-0.70,-85.89,0.17,-0.65,-79.14,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,0.21,0.69,0.48,227.38,0.34,0.13,60.71,0.17,-0.04,-20.24,***,***,***,0.21,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,0.00,1.19,***,***,***,***,***,***
B:FPIPO1T02:07,0.20,***,***,***,0.25,0.05,24.69,0.08,-0.12,-59.26,***,***,***,0.20,-0.01,-3.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,0.21,0.78,0.57,268.24,0.31,0.10,47.06,0.16,-0.06,-27.06,***,***,***,0.24,0.03,12.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.37,0.16,74.12,***,***,***,***,***,***
B:FPIPO1T02:11,1.03,0.17,-0.87,-84.02,0.34,-0.69,-66.83,***,***,***,0.43,-0.60,-58.35,0.62,-0.42,-40.44,***,***,***,0.50,-0.54,-51.82,***,***,***,0.39,-0.64,-61.96,0.41,-0.62,-60.05,0.30,-0.74,-71.43,***,***,***,0.40,-0.64,-61.50,***,***,***
B:FPIPO1T02:12,0.97,0.24,-0.73,-75.45,0.23,-0.74,-75.97,***,***,***,0.50,-0.47,-48.84,0.58,-0.39,-40.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:13,1.07,0.44,-0.63,-58.55,0.42,-0.65,-61.12,***,***,***,0.49,-0.58,-54.57,0.34,-0.73,-68.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:14,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:15,0.56,0.41,-0.15,-26.01,0.38,-0.18,-31.39,***,***,***,0.44,-0.12,-21.08,0.26,-0.30,-53.81,0.44,-0.12,-21.97,***,***,***,0.21,-0.35,-62.78,0.13,-0.43,-77.13,0.22,-0.34,-60.54,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:16,1.05,0.50,-0.55,-52.49,0.48,-0.58,-54.87,***,***,***,0.49,-0.57,-53.92,0.42,-0.64,-60.57,0.65,-0.41,-38.48,***,***,***,0.25,-0.80,-76.01,0.12,-0.93,-88.36,0.21,-0.85,-80.52,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:17,0.71,0.38,-0.33,-45.94,0.35,-0.36,-50.88,***,***,***,0.28,-0.43,-60.78,0.43,-0.28,-39.93,0.86,0.15,21.55,***,***,***,0.18,-0.53,-74.56,0.10,-0.61,-86.22,0.13,-0.58,-81.27,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:18,0.77,0.45,-0.32,-41.23,0.41,-0.36,-46.75,***,***,***,0.21,-0.56,-72.40,0.28,-0.49,-63.31,0.50,-0.27,-35.06,***,***,***,0.13,-0.64,-82.79,0.19,-0.59,-75.97,0.11,-0.66,-85.39,***,***,***,***,***,***,***,***,***,***,***,***
