ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,6.69,***,***,***,2.57,-4.12,-61.57,***,***,***,3.12,-3.57,-53.36,5.69,-1.00,-14.93,***,***,***,4.80,-1.88,-28.17,1.40,-5.29,-79.10,1.19,-5.50,-82.28,2.76,-3.93,-58.77,3.41,-3.28,-49.07,***,***,***,3.62,-3.07,-45.90,***,***,***
B:FPIPO1T02:02,5.30,***,***,***,5.04,-0.26,-4.94,***,***,***,3.08,-2.22,-41.88,6.89,1.58,29.88,***,***,***,2.70,-2.61,-49.18,1.55,-3.76,-70.82,1.68,-3.62,-68.35,2.56,-2.75,-51.76,2.89,-2.41,-45.41,***,***,***,3.32,-1.98,-37.41,***,***,***
B:FPIPO1T02:03,3.61,***,***,***,3.12,-0.49,-13.49,***,***,***,2.13,-1.47,-40.83,***,***,***,***,***,***,2.33,-1.27,-35.29,3.38,-0.22,-6.23,2.16,-1.45,-40.14,1.78,-1.82,-50.52,2.33,-1.27,-35.29,2.10,-1.51,-41.87,***,***,***,***,***,***
B:FPIPO1T02:04,5.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.75,-4.67,-86.18,0.52,-4.89,-90.32,***,***,***,***,***,***,***,***,***,***,***,***,0.92,-4.49,-82.95
B:FPIPO1T02:05,4.07,1.87,-2.20,-53.99,2.17,-1.90,-46.63,***,***,***,1.41,-2.66,-65.34,2.58,-1.48,-36.50,2.11,-1.96,-48.16,***,***,***,0.66,-3.41,-83.74,0.57,-3.49,-85.89,0.85,-3.22,-79.14,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,1.05,3.43,2.38,227.38,1.68,0.64,60.71,0.84,-0.21,-20.24,***,***,***,1.05,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.06,0.01,1.19,***,***,***,***,***,***
B:FPIPO1T02:07,1.01,***,***,***,1.26,0.25,24.69,0.41,-0.60,-59.26,***,***,***,0.97,-0.04,-3.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,1.06,3.91,2.85,268.24,1.56,0.50,47.06,0.77,-0.29,-27.06,***,***,***,1.20,0.14,12.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.85,0.79,74.12,***,***,***,***,***,***
B:FPIPO1T02:11,5.15,0.82,-4.33,-84.02,1.71,-3.44,-66.83,***,***,***,2.15,-3.01,-58.35,3.07,-2.08,-40.44,***,***,***,2.48,-2.67,-51.82,***,***,***,1.96,-3.19,-61.96,2.06,-3.09,-60.05,1.47,-3.68,-71.43,***,***,***,1.98,-3.17,-61.50,***,***,***
B:FPIPO1T02:12,4.83,1.19,-3.64,-75.45,1.16,-3.67,-75.97,***,***,***,2.47,-2.36,-48.84,2.88,-1.95,-40.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
