ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR3-Attr,01YEAR3-Diff,01YEAR3-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR11-Attr,01YEAR11-Diff,01YEAR11-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,03PRE-Attr,03PRE-Diff,03PRE-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,02YEAR02-Attr,02YEAR02-Diff,02YEAR02-%Diff
B:FPIPO1T02:01,13.58,***,***,***,3.51,-10.08,-74.18,***,***,***,4.19,-9.39,-69.13,8.40,-5.18,-38.16,***,***,***,8.30,-5.28,-38.90,1.81,-11.77,-86.65,2.89,-10.69,-78.73,7.68,-5.90,-43.48,6.42,-7.16,-52.70,***,***,***,8.96,-4.63,-34.06,***,***,***
B:FPIPO1T02:02,13.93,***,***,***,9.34,-4.60,-33.01,***,***,***,9.77,-4.16,-29.85,10.78,-3.16,-22.65,***,***,***,7.94,-5.99,-43.00,4.43,-9.51,-68.24,6.02,-7.91,-56.78,7.94,-5.99,-42.99,7.25,-6.69,-48.00,***,***,***,15.28,1.34,9.62,***,***,***
B:FPIPO1T02:03,17.02,***,***,***,7.87,-9.15,-53.77,***,***,***,5.49,-11.53,-67.73,***,***,***,***,***,***,6.10,-10.93,-64.19,12.09,-4.94,-28.99,9.18,-7.84,-46.06,8.40,-8.62,-50.63,7.12,-9.91,-58.20,6.49,-10.54,-61.88,***,***,***,***,***,***
B:FPIPO1T02:04,18.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.71,-7.37,-40.78,12.67,-5.42,-29.96,***,***,***,***,***,***,***,***,***,***,***,***,9.64,-8.44,-46.69
B:FPIPO1T02:05,10.73,2.72,-8.01,-74.64,3.44,-7.29,-67.91,***,***,***,2.88,-7.86,-73.20,3.84,-6.90,-64.24,10.89,0.16,1.45,***,***,***,7.22,-3.51,-32.74,9.33,-1.40,-13.07,9.14,-1.59,-14.84,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:06,12.45,8.40,-4.05,-32.52,6.12,-6.33,-50.88,7.82,-4.63,-37.22,***,***,***,7.01,-5.44,-43.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.19,-4.25,-34.18,***,***,***,***,***,***
B:FPIPO1T02:07,1.75,***,***,***,1.98,0.23,13.44,0.98,-0.77,-43.90,***,***,***,2.32,0.57,32.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1T02:08,1.38,4.21,2.82,204.23,3.13,1.75,126.46,3.34,1.96,141.46,***,***,***,3.03,1.65,119.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.54,3.15,227.93,***,***,***,***,***,***
B:FPIPO1T02:11,21.66,4.50,-17.16,-79.23,4.50,-17.16,-79.23,***,***,***,7.22,-14.44,-66.68,9.30,-12.36,-57.07,***,***,***,10.76,-10.90,-50.34,***,***,***,6.70,-14.96,-69.07,3.95,-17.71,-81.74,4.65,-17.01,-78.52,***,***,***,5.82,-15.84,-73.14,***,***,***
B:FPIPO1T02:12,10.32,4.27,-6.05,-58.62,3.89,-6.42,-62.26,***,***,***,6.90,-3.41,-33.09,7.40,-2.92,-28.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
