ProjectUnit = GBOGR2T02
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01PRE REPEAT-Attr,01PRE REPEAT-Diff,01PRE REPEAT-%Diff
B:GBOGR2T02:01,0.05,0.05,0.01,11.11,0.05,0.01,11.11,0.05,0.00,0.00,***,***,***
B:GBOGR2T02:02,0.13,0.07,-0.06,-46.15,0.08,-0.06,-42.31,0.10,-0.03,-23.08,***,***,***
B:GBOGR2T02:03,0.18,0.11,-0.07,-40.00,0.11,-0.07,-40.00,0.05,-0.13,-71.43,***,***,***
B:GBOGR2T02:04,0.12,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:05,0.33,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:06,0.11,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:07,0.26,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:08,0.11,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:09,0.10,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:10,0.11,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:11,0.06,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:12,0.07,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:13,0.08,0.05,-0.03,-33.33,0.05,-0.03,-33.33,0.07,-0.01,-13.33,***,***,***
B:GBOGR2T02:14,0.09,***,***,***,***,***,***,***,***,***,0.04,-0.06,-61.11
B:GBOGR2T02:15,0.07,***,***,***,***,***,***,***,***,***,0.03,-0.04,-61.54
B:GBOGR2T02:16,0.08,***,***,***,***,***,***,***,***,***,0.04,-0.04,-50.00
B:GBOGR2T02:17,0.03,***,***,***,***,***,***,***,***,***,0.02,-0.01,-40.00
B_GBOGR2T02_18,0.36,***,***,***,***,***,***,***,***,***,0.09,-0.27,-74.65
B_GBOGR2T02_19,0.07,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_20,0.07,***,***,***,***,***,***,***,***,***,0.05,-0.03,-35.71
B_GBOGR2T02_21,0.17,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_22,0.12,***,***,***,***,***,***,***,***,***,0.02,-0.10,-83.33
B_GBOGR2T02_23,0.05,***,***,***,***,***,***,***,***,***,0.01,-0.04,-88.89
B_GBOGR2T02_24,0.11,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_25,0.07,***,***,***,***,***,***,***,***,***,0.06,-0.01,-14.29
B_GBOGR2T02_26,0.01,***,***,***,***,***,***,***,***,***,0.01,0.00,0.00
B_GBOGR2T02_27,0.08,***,***,***,***,***,***,***,***,***,0.05,-0.03,-33.33
B_GBOGR2T02_28,0.07,***,***,***,***,***,***,***,***,***,0.07,-0.01,-7.14
Mean,0.11,0.07,0.04,37.90,0.07,0.04,36.77,0.07,0.05,41.29,0.04,0.07,65.38
