ProjectUnit = GBOGR2T02
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01PRE REPEAT-Attr,01PRE REPEAT-Diff,01PRE REPEAT-%Diff
B:GBOGR2T02:01,0.22,0.25,0.02,11.11,0.25,0.02,11.11,0.22,0.00,0.00,***,***,***
B:GBOGR2T02:02,0.65,0.35,-0.30,-46.15,0.37,-0.27,-42.31,0.50,-0.15,-23.08,***,***,***
B:GBOGR2T02:03,0.87,0.52,-0.35,-40.00,0.52,-0.35,-40.00,0.25,-0.62,-71.43,***,***,***
B:GBOGR2T02:04,0.60,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:05,1.65,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:06,0.52,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:07,1.30,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:08,0.55,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:09,0.50,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:10,0.52,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:11,0.30,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:12,0.35,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:13,0.37,0.25,-0.12,-33.33,0.25,-0.12,-33.33,0.32,-0.05,-13.33,***,***,***
B:GBOGR2T02:14,0.45,***,***,***,***,***,***,***,***,***,0.17,-0.27,-61.11
B:GBOGR2T02:15,0.32,***,***,***,***,***,***,***,***,***,0.12,-0.20,-61.54
B:GBOGR2T02:16,0.40,***,***,***,***,***,***,***,***,***,0.20,-0.20,-50.00
B:GBOGR2T02:17,0.12,***,***,***,***,***,***,***,***,***,0.07,-0.05,-40.00
B_GBOGR2T02_18,1.77,***,***,***,***,***,***,***,***,***,0.45,-1.32,-74.65
B_GBOGR2T02_19,0.32,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_20,0.35,***,***,***,***,***,***,***,***,***,0.22,-0.12,-35.71
B_GBOGR2T02_21,0.85,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_22,0.60,***,***,***,***,***,***,***,***,***,0.10,-0.50,-83.33
B_GBOGR2T02_23,0.22,***,***,***,***,***,***,***,***,***,0.02,-0.20,-88.89
B_GBOGR2T02_24,0.52,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_25,0.35,***,***,***,***,***,***,***,***,***,0.30,-0.05,-14.29
B_GBOGR2T02_26,0.05,***,***,***,***,***,***,***,***,***,0.05,0.00,0.00
B_GBOGR2T02_27,0.37,***,***,***,***,***,***,***,***,***,0.25,-0.12,-33.33
B_GBOGR2T02_28,0.35,***,***,***,***,***,***,***,***,***,0.32,-0.02,-7.14
Mean,0.55,0.34,0.21,37.90,0.35,0.20,36.77,0.32,0.23,41.29,0.19,0.36,65.38
