ProjectUnit = GBOGR2T02
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01PRE REPEAT-Attr,01PRE REPEAT-Diff,01PRE REPEAT-%Diff
B:GBOGR2T02:01,0.22,0.26,0.03,14.65,0.26,0.03,14.65,0.22,0.00,0.00,***,***,***
B:GBOGR2T02:02,0.73,0.50,-0.23,-31.15,0.53,-0.20,-27.72,0.50,-0.23,-31.47,***,***,***
B:GBOGR2T02:03,0.87,0.52,-0.35,-40.00,0.52,-0.35,-40.00,0.25,-0.62,-71.43,***,***,***
B:GBOGR2T02:04,0.61,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:05,12.66,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:06,1.15,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:07,3.10,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:08,1.35,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:09,0.50,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:10,0.56,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:11,0.32,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:12,0.96,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:13,0.41,0.25,-0.16,-38.55,0.25,-0.16,-38.55,0.33,-0.07,-18.16,***,***,***
B:GBOGR2T02:14,0.45,***,***,***,***,***,***,***,***,***,0.21,-0.24,-54.04
B:GBOGR2T02:15,0.33,***,***,***,***,***,***,***,***,***,0.13,-0.20,-60.07
B:GBOGR2T02:16,0.40,***,***,***,***,***,***,***,***,***,0.20,-0.20,-50.00
B:GBOGR2T02:17,0.12,***,***,***,***,***,***,***,***,***,0.07,-0.05,-40.00
B_GBOGR2T02_18,1.80,***,***,***,***,***,***,***,***,***,0.67,-1.13,-62.70
B_GBOGR2T02_19,0.35,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_20,0.37,***,***,***,***,***,***,***,***,***,0.66,0.29,79.54
B_GBOGR2T02_21,0.85,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_22,0.61,***,***,***,***,***,***,***,***,***,0.10,-0.52,-83.76
B_GBOGR2T02_23,0.24,***,***,***,***,***,***,***,***,***,0.02,-0.22,-89.62
B_GBOGR2T02_24,1.09,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_25,5.07,***,***,***,***,***,***,***,***,***,6.28,1.21,23.97
B_GBOGR2T02_26,0.05,***,***,***,***,***,***,***,***,***,0.05,0.00,0.00
B_GBOGR2T02_27,0.49,***,***,***,***,***,***,***,***,***,0.34,-0.14,-28.97
B_GBOGR2T02_28,0.36,***,***,***,***,***,***,***,***,***,0.32,-0.03,-9.21
Mean,1.29,0.38,0.90,70.21,0.39,0.90,69.73,0.33,0.96,74.62,0.76,0.53,41.25
