ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,2.97,***,***,***,***,***,***,***,***,***,3.27,0.30,9.99,***,***,***,0.59,-2.38,-80.01,0.30,-2.67,-90.00,0.00,-2.97,-100.00,***,***,***,***,***,***,0.59,-2.38,-80.01,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.59,-2.38,-80.01,0.59,-2.38,-80.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,1.19,***,***,***,***,***,***,***,***,***,1.78,0.59,50.00,0.00,-1.19,-100.00,0.00,-1.19,-100.00,0.00,-1.19,-100.00,4.75,3.56,300.00,3.56,2.37,200.00,***,***,***,1.78,0.59,50.00,1.48,0.30,25.00,1.78,0.59,50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,2.98,***,***,***,***,***,***,***,***,***,2.39,-0.60,-20.00,0.60,-2.39,-80.00,0.89,-2.09,-70.00,0.30,-2.68,-90.00,6.86,3.88,130.00,3.58,0.60,20.00,***,***,***,0.60,-2.39,-80.00,0.30,-2.68,-90.00,0.30,-2.68,-89.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,2.37,***,***,***,***,***,***,***,***,***,3.56,1.19,49.99,0.89,-1.48,-62.50,0.59,-1.78,-75.00,1.48,-0.89,-37.50,7.72,5.34,225.01,6.53,4.16,175.00,***,***,***,2.97,0.59,24.99,0.30,-2.08,-87.50,1.19,-1.19,-50.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,0.00,***,***,***,***,***,***,***,***,***,0.30,0.30,***,0.30,0.30,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.59,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,0.89,***,***,***,***,***,***,***,***,***,1.19,0.30,33.33,0.00,-0.89,-100.00,0.00,-0.89,-100.00,0.00,-0.89,-100.00,5.94,5.05,566.66,6.23,5.34,599.99,***,***,***,0.30,-0.59,-66.67,0.00,-0.89,-100.00,0.30,-0.59,-66.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,1.55,1.50,-0.04,-2.86,2.70,1.16,74.69,***,***,***,1.51,-0.04,-2.56,1.50,-0.05,-3.18,1.80,0.25,16.47,1.20,-0.35,-22.38,1.80,0.25,16.41,1.80,0.26,16.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,1.51,***,***,***,***,***,***,***,***,***,3.35,1.84,122.10,0.89,-0.62,-40.97,0.59,-0.91,-60.65,1.49,-0.02,-1.30,1.19,-0.32,-21.29,***,***,***,***,***,***,0.61,-0.90,-59.53,1.53,0.02,1.12,0.92,-0.59,-39.04,1.80,0.29,19.18,***,***,***,1.49,-0.01,-0.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,1.19,0.59,-0.59,-50.00,***,***,***,***,***,***,0.59,-0.59,-50.00,0.30,-0.89,-75.00,0.59,-0.59,-50.00,0.59,-0.59,-50.00,0.59,-0.59,-50.00,1.19,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,0.00,***,***,***,***,***,***,***,***,***,0.60,0.60,***,0.89,0.89,***,0.89,0.89,***,0.30,0.30,***,0.30,0.30,***,***,***,***,***,***,***,0.59,0.59,***,0.30,0.30,***,0.30,0.30,***,0.89,0.89,***,***,***,***,0.30,0.30,***,0.59,0.59,***,***,***,***,***,***,***,***,***,***,0.59,0.59,***
PIAB 16,2.39,***,***,***,***,***,***,***,***,***,2.09,-0.30,-12.54,2.09,-0.30,-12.54,2.39,0.00,-0.03,2.09,-0.30,-12.54,2.09,-0.30,-12.54,***,***,***,***,***,***,0.30,-2.09,-87.49,0.00,-2.39,-100.00,0.00,-2.39,-100.00,1.19,-1.20,-50.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 17,2.97,***,***,***,***,***,***,***,***,***,0.00,-2.97,-100.00,0.30,-2.67,-90.00,0.30,-2.67,-90.00,1.48,-1.49,-50.01,0.59,-2.38,-80.00,***,***,***,***,***,***,0.59,-2.38,-80.00,0.30,-2.67,-90.00,0.59,-2.38,-80.00,1.78,-1.19,-40.02,***,***,***,0.59,-2.38,-80.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 18,5.95,***,***,***,***,***,***,***,***,***,5.96,0.00,0.04,2.68,-3.27,-54.99,1.49,-4.47,-75.04,1.49,-4.47,-75.04,1.20,-4.76,-79.91,***,***,***,***,***,***,1.79,-4.17,-69.97,1.79,-4.17,-70.01,3.87,-2.09,-35.03,0.89,-5.06,-85.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 19,5.65,***,***,***,***,***,***,***,***,***,4.16,-1.49,-26.34,2.38,-3.27,-57.91,1.79,-3.86,-68.37,1.79,-3.86,-68.38,1.78,-3.86,-68.43,***,***,***,***,***,***,0.30,-5.35,-94.74,0.30,-5.35,-94.74,0.60,-5.05,-89.46,1.19,-4.46,-78.94,***,***,***,0.30,-5.35,-94.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 20,0.59,***,***,***,***,***,***,***,***,***,0.00,-0.59,-100.00,0.30,-0.30,-50.00,0.30,-0.30,-50.00,0.30,-0.30,-49.92,1.49,0.89,150.16,***,***,***,***,***,***,0.00,-0.59,-100.00,0.00,-0.59,-100.00,0.00,-0.59,-100.00,2.38,1.78,300.00,***,***,***,9.20,8.61,1450.24,5.94,5.34,900.16,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 23,2.98,2.68,-0.30,-9.98,2.68,-0.30,-10.08,2.38,-0.60,-20.05,2.98,0.00,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 26,4.75,***,***,***,***,***,***,***,***,***,3.56,-1.19,-25.00,1.19,-3.56,-75.00,1.78,-2.97,-62.50,1.48,-3.27,-68.75,3.27,-1.48,-31.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 27,4.80,3.90,-0.90,-18.74,***,***,***,***,***,***,4.51,-0.29,-6.13,0.00,-4.80,-100.00,0.60,-4.20,-87.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
